"",BBK01.OEAD27V,BBK01.OEAD27V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:02:05,
2002-01,0.278,
2002-04,0.287,
2002-07,0.268,
2002-10,0.303,
2003-01,0.304,
2003-04,0.306,
2003-07,0.323,
2003-10,0.315,
2004-01,0.288,
2004-04,0.284,
2004-07,0.282,
2004-10,0.173,
2005-01,0.176,
2005-04,0.169,
2005-07,0.059,
2005-10,0.065,
2006-01,0.063,
2006-04,0.060,
2006-07,0.067,
2006-10,0.209,
2007-01,0.206,
2007-04,0.211,
2007-07,0.184,
2007-10,0.192,
2008-01,0.178,
2008-04,0.114,
2008-07,0.129,
2008-10,0.122,
2009-01,0.138,
2009-04,0.167,
2009-07,0.141,
2009-10,0.233,
2010-01,0.115,
2010-04,0.112,
2010-07,0.089,
2010-10,0.077,
2011-01,0.060,
2011-04,0.061,
2011-07,0.055,
2011-10,0.058,
2012-01,0.058,
2012-04,0.059,
2012-07,0.061,
2012-10,0.061,
2013-01,0.059,
2013-04,0.067,
2013-07,0.068,
2013-10,0.070,
2014-01,0.069,
2014-04,0.068,
2014-07,0.063,
