"",BBK01.OEAH62M,BBK01.OEAH62M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:59,
2002-01,0.323,
2002-04,0.316,
2002-07,0.322,
2002-10,0.333,
2003-01,0.319,
2003-04,0.290,
2003-07,0.262,
2003-10,0.244,
2004-01,0.235,
2004-04,0.248,
2004-07,0.226,
2004-10,0.216,
2005-01,0.271,
2005-04,0.233,
2005-07,0.225,
2005-10,0.234,
2006-01,0.241,
2006-04,0.258,
2006-07,0.278,
2006-10,0.312,
2007-01,0.336,
2007-04,0.358,
2007-07,0.404,
2007-10,0.744,
2008-01,1.234,
2008-04,1.574,
2008-07,2.342,
2008-10,3.066,
2009-01,3.180,
2009-04,3.171,
2009-07,2.584,
2009-10,2.171,
2010-01,1.511,
2010-04,0.841,
2010-07,0.690,
2010-10,0.618,
2011-01,0.617,
2011-04,0.772,
2011-07,0.852,
2011-10,1.020,
2012-01,1.112,
2012-04,1.054,
2012-07,1.000,
2012-10,0.864,
2013-01,0.693,
2013-04,0.579,
2013-07,0.493,
2013-10,0.461,
2014-01,0.412,
2014-04,0.384,
2014-07,0.364,
