"",BBSF2.M.1.P.00000.DER01.I.F.NAV.Z5.00000.000000.Z01.00,BBSF2.M.1.P.00000.DER01.I.F.NAV.Z5.00000.000000.Z01.00_FLAGS
"",Public funds / Derivative funds / Net asset value,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:36:52,
2009-09,909,
2009-10,869,
2009-11,821,
2009-12,800,
2010-01,780,
2010-02,795,
2010-03,762,
2010-04,748,
2010-05,720,
2010-06,693,
2010-07,684,
2010-08,685,
2010-09,679,
2010-10,663,
2010-11,653,
2010-12,642,
2011-01,626,
2011-02,614,
2011-03,443,
2011-04,445,
2011-05,446,
2011-06,443,
2011-07,445,
2011-08,443,
2011-09,445,
2011-10,467,
2011-11,466,
2011-12,470,
2012-01,468,
2012-02,465,
2012-03,122,
2012-04,120,
2012-05,117,
2012-06,123,
2012-07,126,
2012-08,128,
2012-09,133,
2012-10,134,
2012-11,135,
2012-12,135,
2013-01,48,
2013-02,50,
2013-03,51,
2013-04,49,
2013-05,49,
2013-06,46,
2013-07,47,
2013-08,45,
2013-09,47,
2013-10,46,
2013-11,46,
2013-12,45,
2014-01,44,
2014-02,45,
2014-03,45,
2014-04,46,
2014-05,54,
2014-06,54,
2014-07,55,
2014-08,30,
2014-09,32,
2014-10,35,
2014-11,32,
