"",BBK01.OEAH66G,BBK01.OEAH66G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:29,
2002-01,8.252,
2002-04,8.308,
2002-07,8.391,
2002-10,8.176,
2003-01,7.969,
2003-04,7.798,
2003-07,7.634,
2003-10,7.594,
2004-01,7.507,
2004-04,7.472,
2004-07,7.436,
2004-10,7.361,
2005-01,7.070,
2005-04,6.841,
2005-07,6.629,
2005-10,6.533,
2006-01,6.270,
2006-04,6.023,
2006-07,5.776,
2006-10,5.514,
2007-01,5.146,
2007-04,4.778,
2007-07,4.656,
2007-10,4.447,
2008-01,4.163,
2008-04,3.960,
2008-07,3.947,
2008-10,3.906,
2009-01,3.888,
2009-04,4.205,
2009-07,4.555,
2009-10,5.363,
2010-01,5.748,
2010-04,5.929,
2010-07,5.949,
2010-10,6.094,
2011-01,6.319,
2011-04,6.667,
2011-07,6.785,
2011-10,6.823,
2012-01,6.534,
2012-04,6.278,
2012-07,5.975,
2012-10,5.673,
2013-01,5.405,
2013-04,5.065,
2013-07,4.848,
2013-10,4.727,
2014-01,4.435,
2014-04,4.088,
2014-07,3.870,
