"",BBDE1.M.DE.Y.BAA1.A2Q301000.G.C.I10.A,BBDE1.M.DE.Y.BAA1.A2Q301000.G.C.I10.A_FLAGS
"","Output in the production sector / Germany / Industry excluding 10 Manufacture of food products, 11 Manufacture of beverages and 12 Manufacture of tobacco products / Calendar and seasonally adjusted",
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-06 08:30:03,
1991-01,84.7,
1991-02,83.7,
1991-03,83.3,
1991-04,82.4,
1991-05,81.0,
1991-06,84.9,
1991-07,82.3,
1991-08,80.9,
1991-09,80.6,
1991-10,81.9,
1991-11,82.9,
1991-12,83.0,
1992-01,83.7,
1992-02,85.7,
1992-03,83.3,
1992-04,82.9,
1992-05,82.4,
1992-06,81.1,
1992-07,79.2,
1992-08,79.7,
1992-09,78.6,
1992-10,78.5,
1992-11,77.4,
1992-12,75.7,
1993-01,75.1,
1993-02,74.0,
1993-03,73.8,
1993-04,73.2,
1993-05,73.4,
1993-06,72.7,
1993-07,70.8,
1993-08,74.3,
1993-09,73.4,
1993-10,73.7,
1993-11,72.9,
1993-12,73.8,
1994-01,73.7,
1994-02,74.7,
1994-03,74.3,
1994-04,75.4,
1994-05,75.1,
1994-06,75.4,
1994-07,74.9,
1994-08,75.0,
1994-09,76.5,
1994-10,77.8,
1994-11,78.1,
1994-12,78.4,
1995-01,76.7,
1995-02,77.5,
1995-03,76.7,
1995-04,77.1,
1995-05,77.6,
1995-06,76.7,
1995-07,76.5,
1995-08,75.3,
1995-09,77.1,
1995-10,74.8,
1995-11,75.4,
1995-12,75.6,
1996-01,75.7,
1996-02,74.8,
1996-03,75.0,
1996-04,74.9,
1996-05,75.8,
1996-06,76.2,
1996-07,75.3,
1996-08,76.4,
1996-09,76.8,
1996-10,75.9,
1996-11,77.1,
1996-12,77.0,
1997-01,75.7,
1997-02,76.9,
1997-03,77.9,
1997-04,77.7,
1997-05,76.5,
1997-06,80.0,
1997-07,81.0,
1997-08,78.1,
1997-09,78.7,
1997-10,80.1,
1997-11,80.5,
1997-12,81.2,
1998-01,82.0,
1998-02,82.0,
1998-03,83.4,
1998-04,82.2,
1998-05,82.8,
1998-06,82.3,
1998-07,84.1,
1998-08,82.1,
1998-09,81.6,
1998-10,82.2,
1998-11,81.0,
1998-12,81.2,
1999-01,82.6,
1999-02,80.9,
1999-03,81.3,
1999-04,82.2,
1999-05,82.6,
1999-06,82.6,
1999-07,83.1,
1999-08,84.1,
1999-09,83.7,
1999-10,84.6,
1999-11,84.5,
1999-12,84.5,
2000-01,84.2,
2000-02,86.3,
2000-03,86.2,
2000-04,87.3,
2000-05,89.7,
2000-06,87.3,
2000-07,89.1,
2000-08,90.1,
2000-09,90.2,
2000-10,89.9,
2000-11,90.5,
2000-12,91.4,
2001-01,91.2,
2001-02,92.2,
2001-03,90.5,
2001-04,88.9,
2001-05,89.7,
2001-06,90.4,
2001-07,87.4,
2001-08,89.8,
2001-09,88.7,
2001-10,87.0,
2001-11,85.8,
2001-12,86.4,
2002-01,86.9,
2002-02,87.2,
2002-03,87.2,
2002-04,87.4,
2002-05,86.5,
2002-06,89.3,
2002-07,87.3,
2002-08,89.4,
2002-09,88.2,
2002-10,87.3,
2002-11,89.1,
2002-12,87.5,
2003-01,88.4,
2003-02,88.5,
2003-03,88.2,
2003-04,87.5,
2003-05,87.2,
2003-06,86.5,
2003-07,88.7,
2003-08,86.5,
2003-09,86.3,
2003-10,89.0,
2003-11,90.2,
2003-12,90.5,
2004-01,89.3,
2004-02,90.0,
2004-03,89.4,
2004-04,90.8,
2004-05,92.1,
2004-06,91.3,
2004-07,92.4,
2004-08,91.5,
2004-09,91.1,
2004-10,92.5,
2004-11,90.8,
2004-12,90.3,
2005-01,93.4,
2005-02,91.5,
2005-03,92.7,
2005-04,93.4,
2005-05,92.1,
2005-06,94.2,
2005-07,95.7,
2005-08,92.8,
2005-09,95.9,
2005-10,97.7,
2005-11,96.4,
2005-12,96.4,
2006-01,97.0,
2006-02,97.5,
2006-03,96.4,
2006-04,98.9,
2006-05,100.4,
2006-06,99.8,
2006-07,101.9,
2006-08,102.5,
2006-09,102.4,
2006-10,102.3,
2006-11,103.9,
2006-12,105.1,
2007-01,105.4,
2007-02,106.0,
2007-03,106.5,
2007-04,105.6,
2007-05,107.6,
2007-06,107.6,
2007-07,108.5,
2007-08,108.6,
2007-09,109.6,
2007-10,109.9,
2007-11,109.8,
2007-12,111.5,
2008-01,112.9,
2008-02,112.7,
2008-03,112.0,
2008-04,112.4,
2008-05,109.9,
2008-06,111.4,
2008-07,109.2,
2008-08,111.6,
2008-09,108.8,
2008-10,106.2,
2008-11,101.4,
2008-12,96.9,
2009-01,88.6,
2009-02,85.7,
2009-03,86.2,
2009-04,83.2,
2009-05,87.6,
2009-06,88.4,
2009-07,87.3,
2009-08,88.7,
2009-09,92.7,
2009-10,90.9,
2009-11,92.0,
2009-12,91.6,
2010-01,92.1,
2010-02,91.7,
2010-03,95.0,
2010-04,96.7,
2010-05,99.8,
2010-06,99.6,
2010-07,99.0,
2010-08,100.9,
2010-09,102.2,
2010-10,104.7,
2010-11,104.1,
2010-12,105.8,
2011-01,105.8,
2011-02,107.3,
2011-03,107.8,
2011-04,108.4,
2011-05,110.0,
2011-06,107.9,
2011-07,111.6,
2011-08,111.2,
2011-09,108.8,
2011-10,110.1,
2011-11,109.3,
2011-12,107.6,
2012-01,108.5,
2012-02,108.6,
2012-03,109.7,
2012-04,107.8,
2012-05,109.9,
2012-06,108.4,
2012-07,109.8,
2012-08,109.9,
2012-09,108.0,
2012-10,106.3,
2012-11,105.7,
2012-12,106.8,
2013-01,105.5,
2013-02,106.8,
2013-03,107.8,
2013-04,108.5,
2013-05,107.4,
2013-06,109.8,
2013-07,107.5,
2013-08,110.6,
2013-09,109.5,
2013-10,108.5,
2013-11,111.1,
2013-12,111.3,
2014-01,111.5,
2014-02,112.0,
2014-03,111.5,
2014-04,111.6,
2014-05,110.2,
2014-06,110.6,
2014-07,112.6,
2014-08,108.7,
2014-09,110.1,
2014-10,110.5,Provisional value
2014-11,111.1,Provisional value
2014-12,111.5,Provisional value
