"",BBK01.OEAC51O,BBK01.OEAC51O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:55:06,
2002-01,1.168,
2002-04,1.175,
2002-07,1.176,
2002-10,1.178,
2003-01,1.171,
2003-04,1.181,
2003-07,1.185,
2003-10,1.309,
2004-01,1.304,
2004-04,1.309,
2004-07,1.320,
2004-10,1.312,
2005-01,1.256,
2005-04,1.262,
2005-07,1.281,
2005-10,1.283,
2006-01,1.282,
2006-04,1.295,
2006-07,1.310,
2006-10,1.322,
2007-01,1.308,
2007-04,1.311,
2007-07,1.310,
2007-10,1.290,
2008-01,1.280,
2008-04,1.291,
2008-07,1.305,
2008-10,1.304,
2009-01,1.365,
2009-04,1.281,
2009-07,1.297,
2009-10,1.274,
2010-01,1.191,
2010-04,1.261,
2010-07,1.308,
2010-10,1.275,
2011-01,1.283,
2011-04,1.292,
2011-07,1.306,
2011-10,1.319,
2012-01,1.321,
2012-04,1.338,
2012-07,1.347,
2012-10,1.364,
2013-01,1.365,
2013-04,1.386,
2013-07,1.410,
2013-10,1.393,
2014-01,1.401,
2014-04,1.410,
2014-07,1.434,
