"",BBK01.OEXI02K,BBK01.OEXI02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:56:35,
2002-01,8.247,
2002-04,8.639,
2002-07,9.605,
2002-10,10.422,
2003-01,10.063,
2003-04,9.730,
2003-07,9.918,
2003-10,10.246,
2004-01,10.285,
2004-04,10.341,
2004-07,10.815,
2004-10,7.253,
2005-01,8.074,
2005-04,8.192,
2005-07,9.165,
2005-10,8.297,
2006-01,8.821,
2006-04,8.862,
2006-07,7.782,
2006-10,8.007,
2007-01,8.203,
2007-04,8.836,
2007-07,9.144,
2007-10,9.686,
2008-01,9.970,
2008-04,9.206,
2008-07,9.683,
2008-10,9.868,
2009-01,10.706,
2009-04,10.971,
2009-07,11.493,
2009-10,11.538,
2010-01,12.429,
2010-04,12.530,
2010-07,11.948,
2010-10,12.807,
2011-01,12.873,
2011-04,13.710,
2011-07,13.992,
2011-10,13.674,
2012-01,14.499,
2012-04,16.608,
2012-07,16.903,
2012-10,17.530,
2013-01,18.190,
2013-04,19.144,
2013-07,19.794,
2013-10,19.902,
2014-01,20.623,
2014-04,20.709,
2014-07,21.295,
