"",BBSF2.M.1.T.00000.TOT01.I.F.WPS.U2.00000.000000.Z01.00,BBSF2.M.1.T.00000.TOT01.I.F.WPS.U2.00000.000000.Z01.00_FLAGS
"",Funds total / Funds total / Securities total / Euro area (changing composition),
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:43:06,
2009-09,624724,
2009-10,625180,
2009-11,634700,
2009-12,647223,
2010-01,652045,
2010-02,657952,
2010-03,679190,
2010-04,680619,
2010-05,678331,
2010-06,668478,
2010-07,679866,
2010-08,694102,
2010-09,699395,
2010-10,709691,
2010-11,700599,
2010-12,708206,
2011-01,706373,
2011-02,716279,
2011-03,711143,
2011-04,716724,
2011-05,716055,
2011-06,711030,
2011-07,713692,
2011-08,687672,
2011-09,676869,
2011-10,690361,
2011-11,676922,
2011-12,691086,
2012-01,703953,
2012-02,728213,
2012-03,730737,
2012-04,726231,
2012-05,722002,
2012-06,723006,
2012-07,751497,
2012-08,759669,
2012-09,766635,
2012-10,775979,
2012-11,787372,
2012-12,806569,
2013-01,814014,
2013-02,822576,
2013-03,833361,
2013-04,849743,
2013-05,851338,
2013-06,825385,
2013-07,845807,
2013-08,841662,
2013-09,854340,
2013-10,869540,
2013-11,876125,
2013-12,872484,
2014-01,877469,
2014-02,895233,
2014-03,902993,
2014-04,909502,
2014-05,924301,
2014-06,927980,
2014-07,931527,
2014-08,945591,
2014-09,940661,
2014-10,940004,
2014-11,958201,
