"",BBK01.OEAH23M,BBK01.OEAH23M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:45,
2002-01,0.945,
2002-04,0.960,
2002-07,0.968,
2002-10,0.993,
2003-01,0.976,
2003-04,0.985,
2003-07,0.996,
2003-10,0.995,
2004-01,0.968,
2004-04,0.900,
2004-07,0.818,
2004-10,0.830,
2005-01,0.839,
2005-04,0.917,
2005-07,0.944,
2005-10,1.053,
2006-01,1.291,
2006-04,1.516,
2006-07,1.936,
2006-10,2.483,
2007-01,3.255,
2007-04,3.759,
2007-07,4.290,
2007-10,4.821,
2008-01,5.231,
2008-04,5.544,
2008-07,5.855,
2008-10,6.300,
2009-01,5.870,
2009-04,5.202,
2009-07,4.337,
2009-10,3.492,
2010-01,3.399,
2010-04,3.319,
2010-07,3.268,
2010-10,3.287,
2011-01,3.392,
2011-04,3.463,
2011-07,3.495,
2011-10,3.468,
2012-01,3.085,
2012-04,3.015,
2012-07,2.928,
2012-10,2.779,
2013-01,2.350,
2013-04,2.096,
2013-07,1.791,
2013-10,1.742,
2014-01,1.556,
2014-04,1.422,
2014-07,1.315,
