"",BBFN1.M.DE.N.1.A.KE.S1P.F0.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.KE.S1P.F0.T.BN00.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from financial operations / Total / Kenya,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:19:46,
1995-01,0.031,
1995-02,0.031,
1995-03,0.031,
1995-04,0.032,
1995-05,0.031,
1995-06,0.031,
1995-07,0.031,
1995-08,0.031,
1995-09,0.031,
1995-10,0.030,
1995-11,0.030,
1995-12,0.030,
1996-01,0.030,
1996-02,0.029,
1996-03,0.029,
1996-04,0.029,
1996-05,0.028,
1996-06,0.027,
1996-07,0.027,
1996-08,0.027,
1996-09,0.027,
1996-10,0.027,
1996-11,0.027,
1996-12,0.027,
1997-01,0.027,
1997-02,0.027,
1997-03,0.027,
1997-04,0.027,
1997-05,0.026,
1997-06,0.027,
1997-07,0.026,
1997-08,0.026,
1997-09,0.026,
1997-10,0.026,
1997-11,0.024,
1997-12,0.023,
1998-01,0.023,
1998-02,0.024,
1998-03,0.024,
1998-04,0.024,
1998-05,0.024,
1998-06,0.024,
1998-07,0.025,
1998-08,0.026,
1998-09,0.031,
1998-10,0.033,
1998-11,0.033,
1998-12,0.033,
1999-01,0.033,
1999-02,0.035,
1999-03,0.034,
1999-04,0.035,
1999-05,0.034,
1999-06,0.035,
1999-07,0.035,
1999-08,0.036,
1999-09,0.036,
1999-10,0.038,
1999-11,0.038,
1999-12,0.039,
2000-01,0.040,
2000-02,0.038,
2000-03,0.038,
2000-04,0.041,
2000-05,0.042,
2000-06,0.043,
2000-07,0.043,
2000-08,0.046,
2000-09,0.047,
2000-10,0.043,
2000-11,0.047,
2000-12,0.051,
2001-01,0.055,
2001-02,0.053,
2001-03,0.052,
2001-04,0.054,
2001-05,0.058,
2001-06,0.056,
2001-07,0.056,
2001-08,0.056,
2001-09,0.056,
2001-10,0.062,
2001-11,0.054,
2001-12,0.053,
2002-01,0.054,
2002-02,0.054,
2002-03,0.055,
2002-04,0.054,
2002-05,0.053,
2002-06,0.051,
2002-07,0.050,
2002-08,0.049,
2002-09,0.053,
2002-10,0.051,
2002-11,0.052,
2002-12,0.048,
2003-01,0.049,
2003-02,0.047,
2003-03,0.048,
2003-04,0.049,
2003-05,0.048,
2003-06,0.047,
2003-07,0.046,
2003-08,0.047,
2003-09,0.048,
2003-10,0.047,
2003-11,0.046,
2003-12,0.045,
2004-01,0.044,
2004-02,0.043,
2004-03,0.043,
2004-04,0.045,
2004-05,0.044,
2004-06,0.041,
2004-07,0.043,
2004-08,0.043,
2004-09,0.040,
2004-10,0.039,
2004-11,0.040,
2004-12,0.037,
2005-01,0.038,
2005-02,0.039,
2005-03,0.038,
2005-04,0.040,
2005-05,0.042,
2005-06,0.040,
2005-07,0.040,
2005-08,0.040,
2005-09,0.040,
2005-10,0.040,
2005-11,0.041,
2005-12,0.038,
2006-01,0.041,
2006-02,0.041,
2006-03,0.045,
2006-04,0.040,
2006-05,0.049,
2006-06,0.042,
2006-07,0.043,
2006-08,0.043,
2006-09,0.042,
2006-10,0.040,
2006-11,0.045,
2006-12,0.045,
2007-01,0.045,
2007-02,0.046,
2007-03,0.041,
2007-04,0.041,
2007-05,0.041,
2007-06,0.041,
2007-07,0.042,
2007-08,0.044,
2007-09,0.046,
2007-10,0.045,
2007-11,0.045,
2007-12,0.044,
2008-01,0.043,
2008-02,0.044,
2008-03,0.044,
2008-04,0.045,
2008-05,0.044,
2008-06,0.047,
2008-07,0.047,
2008-08,0.049,
2008-09,0.057,
2008-10,0.069,
2008-11,0.070,
2008-12,0.072,
2009-01,0.088,
2009-02,0.087,
2009-03,0.154,
2009-04,0.157,
2009-05,0.154,
2009-06,0.151,
2009-07,0.163,
2009-08,0.167,
2009-09,0.166,
2009-10,0.168,
2009-11,0.167,
2009-12,0.171,
2010-01,0.177,
2010-02,0.179,
2010-03,0.177,
2010-04,0.174,
2010-05,0.175,
2010-06,0.173,
2010-07,0.173,
2010-08,0.171,
2010-09,0.167,
2010-10,0.167,
2010-11,0.169,
2010-12,0.165,
2011-01,0.162,
2011-02,0.163,
2011-03,0.159,
2011-04,0.155,
2011-05,0.164,
2011-06,0.156,
2011-07,0.154,
2011-08,0.153,
2011-09,0.151,
2011-10,0.152,
2011-11,0.150,
2011-12,0.151,
2012-01,0.161,
2012-02,0.163,
2012-03,0.163,
2012-04,0.163,
2012-05,0.171,
2012-06,0.163,
2012-07,0.164,
2012-08,0.160,
2012-09,0.161,
2012-10,0.163,
2012-11,0.157,
2012-12,0.152,
2013-01,0.146,
2013-02,0.155,
2013-03,0.157,
2013-04,0.156,
2013-05,0.156,
2013-06,0.153,
2013-07,0.150,
2013-08,0.149,
2013-09,0.148,
2013-10,0.147,
2013-11,0.140,
2013-12,0.135,
2014-01,0.142,
2014-02,0.140,
2014-03,0.139,
2014-04,0.140,
2014-05,0.142,
2014-06,0.139,
2014-07,0.110,
2014-08,0.110,
2014-09,0.153,
2014-10,0.153,
2014-11,0.153,
2014-12,0.177,
