"",BBK01.OECL04G,BBK01.OECL04G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:37,
2002-01,1.033,
2002-04,0.889,
2002-07,0.911,
2002-10,0.956,
2003-01,0.817,
2003-04,0.786,
2003-07,0.635,
2003-10,0.546,
2004-01,0.570,
2004-04,0.606,
2004-07,0.586,
2004-10,0.603,
2005-01,0.684,
2005-04,0.709,
2005-07,0.698,
2005-10,0.733,
2006-01,0.821,
2006-04,0.838,
2006-07,0.912,
2006-10,1.092,
2007-01,1.250,
2007-04,1.451,
2007-07,1.690,
2007-10,2.221,
2008-01,2.600,
2008-04,2.625,
2008-07,3.344,
2008-10,3.422,
2009-01,2.886,
2009-04,2.678,
2009-07,1.937,
2009-10,1.372,
2010-01,0.834,
2010-04,0.702,
2010-07,0.607,
2010-10,0.546,
2011-01,0.570,
2011-04,0.665,
2011-07,0.616,
2011-10,0.670,
2012-01,0.728,
2012-04,0.711,
2012-07,0.617,
2012-10,0.381,
2013-01,0.287,
2013-04,0.317,
2013-07,0.314,
2013-10,0.273,
2014-01,0.307,
2014-04,0.307,
2014-07,0.219,
