"",BBFN1.M.DE.N.1.L.VE.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.VE.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Venezuela,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:24:24,
1994-12,0.183,
1995-01,0.152,
1995-02,0.150,
1995-03,0.155,
1995-04,0.162,
1995-05,0.145,
1995-06,0.139,
1995-07,0.163,
1995-08,0.155,
1995-09,0.156,
1995-10,0.160,
1995-11,0.173,
1995-12,0.179,
1996-01,0.184,
1996-02,0.192,
1996-03,0.184,
1996-04,0.196,
1996-05,0.191,
1996-06,0.180,
1996-07,0.180,
1996-08,0.174,
1996-09,0.166,
1996-10,0.186,
1996-11,0.188,
1996-12,0.180,
1997-01,0.187,
1997-02,0.178,
1997-03,0.185,
1997-04,0.176,
1997-05,0.182,
1997-06,0.182,
1997-07,0.188,
1997-08,0.192,
1997-09,0.189,
1997-10,0.105,
1997-11,0.111,
1997-12,0.106,
1998-01,0.124,
1998-02,0.132,
1998-03,0.142,
1998-04,0.149,
1998-05,0.168,
1998-06,0.173,
1998-07,0.182,
1998-08,0.185,
1998-09,0.150,
1998-10,0.168,
1998-11,0.171,
1998-12,0.197,
1999-01,0.207,
1999-02,0.215,
1999-03,0.228,
1999-04,0.223,
1999-05,0.251,
1999-06,0.249,
1999-07,0.263,
1999-08,0.203,
1999-09,0.198,
1999-10,0.200,
1999-11,0.199,
1999-12,0.206,
2000-01,0.204,
2000-02,0.212,
2000-03,0.214,
2000-04,0.221,
2000-05,0.232,
2000-06,0.226,
2000-07,0.213,
2000-08,0.283,
2000-09,0.227,
2000-10,0.753,
2000-11,0.782,
2000-12,0.701,
2001-01,0.636,
2001-02,0.626,
2001-03,0.638,
2001-04,0.699,
2001-05,0.820,
2001-06,0.674,
2001-07,0.653,
2001-08,0.609,
2001-09,0.575,
2001-10,0.590,
2001-11,0.528,
2001-12,0.551,
2002-01,0.540,
2002-02,0.538,
2002-03,0.613,
2002-04,0.633,
2002-05,0.607,
2002-06,0.549,
2002-07,0.563,
2002-08,0.522,
2002-09,0.568,
2002-10,0.575,
2002-11,0.466,
2002-12,0.437,
2003-01,0.506,
2003-02,0.490,
2003-03,0.535,
2003-04,0.503,
2003-05,0.443,
2003-06,0.411,
2003-07,0.479,
2003-08,0.804,
2003-09,0.451,
2003-10,0.499,
2003-11,0.482,
2003-12,0.452,
2004-01,0.485,
2004-02,0.455,
2004-03,0.483,
2004-04,0.500,
2004-05,0.510,
2004-06,0.610,
2004-07,0.601,
2004-08,0.637,
2004-09,0.676,
2004-10,0.734,
2004-11,0.702,
2004-12,0.654,
2005-01,0.630,
2005-02,0.657,
2005-03,0.718,
2005-04,0.743,
2005-05,0.756,
2005-06,0.779,
2005-07,0.846,
2005-08,0.878,
2005-09,0.948,
2005-10,0.962,
2005-11,1.318,
2005-12,1.125,
2006-01,1.134,
2006-02,1.094,
2006-03,1.173,
2006-04,1.164,
2006-05,1.246,
2006-06,1.313,
2006-07,1.321,
2006-08,1.322,
2006-09,1.308,
2006-10,1.219,
2006-11,1.184,
2006-12,1.231,
2007-01,1.230,
2007-02,1.242,
2007-03,1.363,
2007-04,1.378,
2007-05,1.351,
2007-06,1.407,
2007-07,1.460,
2007-08,1.504,
2007-09,1.596,
2007-10,1.691,
2007-11,1.756,
2007-12,1.807,
2008-01,1.832,
2008-02,1.906,
2008-03,2.056,
2008-04,1.998,
2008-05,2.193,
2008-06,2.191,
2008-07,2.194,
2008-08,2.123,
2008-09,2.068,
2008-10,1.936,
2008-11,1.803,
2008-12,1.688,
2009-01,1.695,
2009-02,1.691,
2009-03,1.751,
2009-04,1.856,
2009-05,1.966,
2009-06,2.026,
2009-07,2.004,
2009-08,2.093,
2009-09,2.070,
2009-10,2.106,
2009-11,2.121,
2009-12,2.139,
2010-01,2.204,
2010-02,2.214,
2010-03,2.317,
2010-04,2.282,
2010-05,2.363,
2010-06,2.411,
2010-07,2.396,
2010-08,2.318,
2010-09,2.283,
2010-10,2.316,
2010-11,2.354,
2010-12,2.397,
2011-01,2.520,
2011-02,2.555,
2011-03,2.627,
2011-04,2.638,
2011-05,1.105,
2011-06,1.110,
2011-07,1.070,
2011-08,1.085,
2011-09,1.099,
2011-10,1.107,
2011-11,1.084,
2011-12,1.091,
2012-01,1.086,
2012-02,1.098,
2012-03,1.084,
2012-04,1.080,
2012-05,1.101,
2012-06,1.110,
2012-07,1.116,
2012-08,1.114,
2012-09,1.127,
2012-10,1.001,
2012-11,0.975,
2012-12,0.827,
2013-01,0.807,
2013-02,0.810,
2013-03,0.841,
2013-04,0.840,
2013-05,0.498,
2013-06,0.851,
2013-07,0.806,
2013-08,0.797,
2013-09,0.482,
2013-10,0.505,
2013-11,0.476,
2013-12,0.436,
2014-01,0.409,
2014-02,0.381,
2014-03,0.385,
2014-04,0.387,
2014-05,0.391,
2014-06,0.409,
2014-07,0.406,
2014-08,0.413,
2014-09,0.424,
2014-10,0.420,
2014-11,0.427,
2014-12,0.424,
