"",BBK01.OEAO03R,BBK01.OEAO03R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:15:11,
2002-01,0.889,
2002-04,0.925,
2002-07,0.684,
2002-10,0.665,
2003-01,0.849,
2003-04,0.662,
2003-07,0.637,
2003-10,0.740,
2004-01,0.903,
2004-04,0.628,
2004-07,0.619,
2004-10,0.764,
2005-01,0.751,
2005-04,0.787,
2005-07,0.604,
2005-10,0.665,
2006-01,0.873,
2006-04,0.720,
2006-07,0.694,
2006-10,0.835,
2007-01,1.030,
2007-04,0.766,
2007-07,0.771,
2007-10,0.788,
2008-01,0.951,
2008-04,0.798,
2008-07,0.822,
2008-10,0.966,
2009-01,0.927,
2009-04,0.824,
2009-07,0.746,
2009-10,0.794,
2010-01,0.817,
2010-04,0.638,
2010-07,0.559,
2010-10,0.622,
2011-01,0.744,
2011-04,0.633,
2011-07,0.599,
2011-10,0.597,
2012-01,0.666,
2012-04,0.610,
2012-07,0.565,
2012-10,0.629,
2013-01,0.689,
2013-04,0.608,
2013-07,0.495,
2013-10,0.495,
2014-01,0.521,
2014-04,0.522,
2014-07,0.478,
