"",BBK01.OEBI07V,BBK01.OEBI07V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:52:58,
2002-01,2.632,
2002-04,2.217,
2002-07,2.228,
2002-10,2.327,
2003-01,2.287,
2003-04,2.196,
2003-07,2.239,
2003-10,2.252,
2004-01,2.202,
2004-04,2.277,
2004-07,2.341,
2004-10,2.368,
2005-01,3.881,
2005-04,3.834,
2005-07,3.645,
2005-10,3.607,
2006-01,3.555,
2006-04,3.501,
2006-07,3.435,
2006-10,3.506,
2007-01,3.719,
2007-04,3.749,
2007-07,3.761,
2007-10,3.965,
2008-01,4.027,
2008-04,4.092,
2008-07,4.066,
2008-10,4.427,
2009-01,4.397,
2009-04,4.392,
2009-07,4.447,
2009-10,4.365,
2010-01,4.279,
2010-04,4.158,
2010-07,4.154,
2010-10,4.336,
2011-01,4.428,
2011-04,4.369,
2011-07,4.368,
2011-10,4.327,
2012-01,4.478,
2012-04,4.425,
2012-07,4.452,
2012-10,4.383,
2013-01,4.220,
2013-04,4.102,
2013-07,4.040,
2013-10,4.049,
2014-01,4.012,
2014-04,3.956,
2014-07,4.088,
