"",BBEX3.M.MXN.EUR.CA.AC.A01,BBEX3.M.MXN.EUR.CA.AC.A01_FLAGS
"",Exchange rates and comparable rates for the euro in Mexico * / EUR 1 = MXN ... (middle),
unit,MXN (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:30,
1999-01,11.50320,
1999-02,10.93250,
1999-03,10.18350,
1999-04,9.97750,
1999-05,10.11350,
1999-06,9.77250,
1999-07,10.04050,
1999-08,9.90900,
1999-09,9.93150,
1999-10,10.12650,
1999-11,9.50850,
1999-12,9.55450,
2000-01,9.31950,
2000-02,9.04350,
2000-03,8.86250,
2000-04,8.56250,
2000-05,8.90550,
2000-06,9.34450,
2000-07,8.67400,
2000-08,8.15650,
2000-09,8.32200,
2000-10,8.11050,
2000-11,8.29350,
2000-12,8.98550,
2001-01,9.07450,
2001-02,8.95150,
2001-03,8.33950,
2001-04,8.21400,
2001-05,7.76200,
2001-06,7.71500,
2001-07,8.01450,
2001-08,8.38500,
2001-09,8.65800,
2001-10,8.34000,
2001-11,8.30550,
2001-12,8.20850,
2002-01,7.88400,
2002-02,7.93400,
2002-03,7.86300,
2002-04,8.44550,
2002-05,9.02400,
2002-06,9.85650,
2002-07,9.61350,
2002-08,9.72300,
2002-09,10.11750,
2002-10,10.04900,
2002-11,10.10350,
2002-12,10.84850,
2003-01,11.74400,
2003-02,11.90350,
2003-03,11.76700,
2003-04,11.50650,
2003-05,12.19915,
2003-06,11.93550,
2003-07,11.97865,
2003-08,12.07270,
2003-09,12.81720,
2003-10,12.82140,
2003-11,13.64320,
2003-12,14.18380,
2004-01,13.67320,
2004-02,13.73835,
2004-03,13.59675,
2004-04,13.63510,
2004-05,13.95635,
2004-06,13.99135,
2004-07,13.74310,
2004-08,13.77930,
2004-09,14.11585,
2004-10,14.68895,
2004-11,14.94160,
2004-12,15.18810,
2005-01,14.57115,
2005-02,14.71695,
2005-03,14.47560,
2005-04,14.31680,
2005-05,13.40135,
2005-06,13.03125,
2005-07,12.82220,
2005-08,13.11470,
2005-09,12.95990,
2005-10,12.97340,
2005-11,12.42510,
2005-12,12.53585,
2006-01,12.66725,
2006-02,12.42450,
2006-03,13.19305,
2006-04,13.86715,
2006-05,14.58655,
2006-06,14.37080,
2006-07,13.97695,
2006-08,14.03105,
2006-09,13.91490,
2006-10,13.67770,
2006-11,14.49525,
2006-12,14.22790,
2007-01,14.28070,
2007-02,14.74610,
2007-03,14.70740,
2007-04,14.86005,
2007-05,14.45830,
2007-06,14.59960,
2007-07,14.99920,
2007-08,15.12075,
2007-09,15.49055,
2007-10,15.43590,
2007-11,16.09870,
2007-12,16.07350,
2008-01,16.10570,
2008-02,16.25185,
2008-03,16.82555,
2008-04,16.33795,
2008-05,16.02055,
2008-06,16.24760,
2008-07,15.67850,
2008-08,15.15640,
2008-09,15.65750,
2008-10,16.39275,
2008-11,17.05415,
2008-12,19.21935,
2009-01,18.29580,
2009-02,19.08550,
2009-03,18.90735,
2009-04,18.37160,
2009-05,18.57130,
2009-06,18.60885,
2009-07,18.66250,
2009-08,19.04100,
2009-09,19.77065,
2009-10,19.57190,
2009-11,19.48070,
2009-12,18.83945,
2010-01,18.19525,
2010-02,17.33735,
2010-03,16.65535,
2010-04,16.35810,
2010-05,15.90745,
2010-06,15.81365,
2010-07,16.49115,
2010-08,16.77975,
2010-09,17.22990,
2010-10,17.13350,
2010-11,16.19485,
2010-12,16.51545,
2011-01,16.64615,
2011-02,16.74470,
2011-03,16.89145,
2011-04,17.09390,
2011-05,16.63945,
2011-06,16.92340,
2011-07,16.72080,
2011-08,17.83350,
2011-09,18.74555,
2011-10,18.61680,
2011-11,18.33640,
2011-12,18.07450,
2012-01,17.16280,
2012-02,17.18540,
2012-03,17.09835,
2012-04,17.21705,
2012-05,17.72650,
2012-06,16.79320,
2012-07,16.34935,
2012-08,16.64525,
2012-09,16.62515,
2012-10,16.98240,
2012-11,16.80130,
2012-12,16.97990,
2013-01,17.23015,
2013-02,16.73605,
2013-03,15.79230,
2013-04,15.86950,
2013-05,16.65105,
2013-06,16.97525,
2013-07,16.97010,
2013-08,17.71905,
2013-09,17.76095,
2013-10,17.78650,
2013-11,17.85080,
2013-12,18.04895,
2014-01,17.99520,
2014-02,18.29395,
2014-03,18.01125,
2014-04,18.12135,
2014-05,17.49080,
2014-06,17.73595,
2014-07,17.66565,
2014-08,17.23540,
2014-09,16.88955,
2014-10,16.87015,
2014-11,17.35980,
2014-12,17.90310,
2015-01,16.89930,
"","Source: Calculated on the basis of the buying and selling rates of the following banks: Since the end of May 2003: Banco de México, Mexico City 1999 - 23 May 2003: Dresdner Bank Lateinamerika AG, Hamburg.",
"","Methodology: * Since the end of May 2003, we only have data on exchange rates for the US dollar; comparable rates for the euro were calculated on the basis of the buying and selling rates for the US dollar in Mexico in conjunction with the respective euro reference exchange rate of the European Central Bank for the US dollar.",
