"",BBFB1.Q.N.DE.ES.S1.S1.T.C.G._Z._Z._Z._T._X.N,BBFB1.Q.N.DE.ES.S1.S1.T.C.G._Z._Z._Z._T._X.N_FLAGS
"",Current account / Goods / Exports (fob) / Spain,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:29:49,
1991-01,3379.975,
1991-04,3562.823,
1991-07,3376.346,
1991-10,3827.933,
1992-01,4058.946,
1992-04,3863.104,
1992-07,3496.074,
1992-10,3167.683,
1993-01,2854.758,
1993-04,2775.514,
1993-07,2372.523,
1993-10,2813.230,
1994-01,2749.776,
1994-04,3011.653,
1994-07,2706.107,
1994-10,3147.615,
1995-01,3403.947,
1995-04,3383.416,
1995-07,2987.872,
1995-10,3010.277,
1996-01,3575.511,
1996-04,3406.686,
1996-07,3268.249,
1996-10,3551.180,
1997-01,3643.966,
1997-04,4141.062,
1997-07,3706.443,
1997-10,4145.157,
1998-01,4406.305,
1998-04,4620.764,
1998-07,4296.233,
1998-10,4925.634,
1999-01,4953.343,
1999-04,5690.071,
1999-07,5210.871,
1999-10,5935.733,
2000-01,6163.959,
2000-04,6531.841,
2000-07,5740.481,
2000-10,6914.174,
2001-01,6561.259,
2001-04,6623.172,
2001-07,6467.140,
2001-10,6775.883,
2002-01,6594.146,
2002-04,7458.225,
2002-07,6822.253,
2002-10,7554.428,
2003-01,7568.172,
2003-04,7702.583,
2003-07,7471.887,
2003-10,8550.840,
2004-01,8605.087,
2004-04,9314.666,
2004-07,8362.178,
2004-10,8788.977,
2005-01,9868.031,
2005-04,10878.976,
2005-07,9690.846,
2005-10,10908.227,
2006-01,10343.127,
2006-04,10822.942,
2006-07,10121.701,
2006-10,11119.744,
2007-01,12084.514,
2007-04,12349.635,
2007-07,11438.610,
2007-10,12120.920,
2008-01,12016.428,
2008-04,12067.330,
2008-07,10013.640,
2008-10,7475.497,
2009-01,7467.770,
2009-04,6170.312,
2009-07,6375.176,
2009-10,7522.252,
2010-01,8158.945,
2010-04,6951.027,
2010-07,7029.728,
2010-10,8123.084,
2011-01,8074.226,
2011-04,7675.303,
2011-07,7491.176,
2011-10,7114.943,
2012-01,7751.882,
2012-04,6954.630,
2012-07,6672.469,
2012-10,6661.822,
2013-01,6974.961,
2013-04,7274.577,
2013-07,6498.857,
2013-10,7127.494,
2014-01,7923.578,Provisional value
2014-04,7770.244,Provisional value
2014-07,8089.046,Provisional value
