"",BBK01.OEAD37L,BBK01.OEAD37L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:59:05,
2002-01,1.017,
2002-04,1.090,
2002-07,1.034,
2002-10,0.973,
2003-01,0.982,
2003-04,0.914,
2003-07,1.031,
2003-10,0.985,
2004-01,1.021,
2004-04,0.969,
2004-07,0.939,
2004-10,0.916,
2005-01,0.878,
2005-04,0.919,
2005-07,0.935,
2005-10,0.917,
2006-01,0.878,
2006-04,0.871,
2006-07,0.855,
2006-10,0.901,
2007-01,1.065,
2007-04,0.969,
2007-07,1.129,
2007-10,1.137,
2008-01,1.271,
2008-04,1.217,
2008-07,1.225,
2008-10,1.073,
2009-01,1.017,
2009-04,0.931,
2009-07,0.940,
2009-10,0.902,
2010-01,0.906,
2010-04,0.888,
2010-07,0.889,
2010-10,0.837,
2011-01,0.813,
2011-04,0.709,
2011-07,0.685,
2011-10,0.693,
2012-01,0.591,
2012-04,0.586,
2012-07,0.550,
2012-10,0.568,
2013-01,0.576,
2013-04,0.561,
2013-07,0.549,
2013-10,0.542,
2014-01,0.504,
2014-04,0.479,
2014-07,0.702,
