"",BBFN1.M.DE.N.1.A.ES.S1P.H0.T.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.ES.S1P.H0.T.N000.Z01.BGA.X001.D_FLAGS
"",Claims of enterprises on non-residents arising from trade credits / Total / Spain,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:13:11,
1994-07,2.547,
1994-08,2.791,
1994-09,2.917,
1994-10,2.978,
1994-11,3.204,
1994-12,3.282,
1995-01,3.351,
1995-02,3.402,
1995-03,3.501,
1995-04,3.356,
1995-05,3.429,
1995-06,3.450,
1995-07,3.321,
1995-08,3.185,
1995-09,3.295,
1995-10,3.251,
1995-11,3.303,
1995-12,3.222,
1996-01,3.152,
1996-02,3.143,
1996-03,3.341,
1996-04,3.335,
1996-05,3.416,
1996-06,3.468,
1996-07,3.394,
1996-08,3.160,
1996-09,3.296,
1996-10,3.307,
1996-11,3.406,
1996-12,3.258,
1997-01,3.304,
1997-02,3.380,
1997-03,3.491,
1997-04,3.586,
1997-05,3.646,
1997-06,3.671,
1997-07,3.665,
1997-08,3.475,
1997-09,3.753,
1997-10,3.904,
1997-11,3.998,
1997-12,3.906,
1998-01,3.742,
1998-02,3.902,
1998-03,4.029,
1998-04,4.050,
1998-05,4.167,
1998-06,4.286,
1998-07,4.257,
1998-08,3.969,
1998-09,4.266,
1998-10,4.297,
1998-11,4.333,
1998-12,4.133,
1999-01,4.076,
1999-02,4.196,
1999-03,4.341,
1999-04,4.339,
1999-05,4.517,
1999-06,4.585,
1999-07,4.599,
1999-08,4.258,
1999-09,4.581,
1999-10,4.752,
1999-11,4.935,
1999-12,4.702,
2000-01,4.763,
2000-02,4.942,
2000-03,5.188,
2000-04,5.235,
2000-05,5.514,
2000-06,5.368,
2000-07,5.257,
2000-08,5.073,
2000-09,5.008,
2000-10,5.324,
2000-11,5.472,
2000-12,5.507,
2001-01,5.506,
2001-02,5.565,
2001-03,5.693,
2001-04,5.384,
2001-05,5.757,
2001-06,5.624,
2001-07,5.598,
2001-08,5.272,
2001-09,5.435,
2001-10,5.659,
2001-11,5.698,
2001-12,5.542,
2002-01,5.610,
2002-02,5.564,
2002-03,5.257,
2002-04,5.371,
2002-05,5.363,
2002-06,5.709,
2002-07,5.446,
2002-08,4.861,
2002-09,5.271,
2002-10,5.234,
2002-11,5.399,
2002-12,5.287,
2003-01,5.291,
2003-02,5.288,
2003-03,5.432,
2003-04,5.259,
2003-05,5.249,
2003-06,5.294,
2003-07,5.130,
2003-08,4.868,
2003-09,5.120,
2003-10,5.159,
2003-11,5.454,
2003-12,5.010,
2004-01,4.894,
2004-02,5.015,
2004-03,5.367,
2004-04,5.246,
2004-05,5.556,
2004-06,5.769,
2004-07,5.615,
2004-08,5.073,
2004-09,5.302,
2004-10,5.552,
2004-11,5.928,
2004-12,5.608,
2005-01,5.685,
2005-02,5.746,
2005-03,5.914,
2005-04,5.814,
2005-05,5.894,
2005-06,5.993,
2005-07,5.762,
2005-08,5.274,
2005-09,5.740,
2005-10,5.734,
2005-11,6.101,
2005-12,6.006,
2006-01,5.889,
2006-02,6.105,
2006-03,6.298,
2006-04,5.911,
2006-05,6.176,
2006-06,6.354,
2006-07,6.102,
2006-08,5.755,
2006-09,6.134,
2006-10,6.296,
2006-11,6.666,
2006-12,6.435,
2007-01,6.600,
2007-02,6.621,
2007-03,6.887,
2007-04,6.716,
2007-05,6.874,
2007-06,7.149,
2007-07,6.797,
2007-08,6.339,
2007-09,6.513,
2007-10,6.713,
2007-11,7.234,
2007-12,6.711,
2008-01,6.641,
2008-02,6.884,
2008-03,6.913,
2008-04,6.768,
2008-05,6.815,
2008-06,6.800,
2008-07,6.477,
2008-08,6.143,
2008-09,6.385,
2008-10,6.455,
2008-11,6.568,
2008-12,6.051,
2009-01,5.793,
2009-02,5.691,
2009-03,5.755,
2009-04,5.364,
2009-05,5.487,
2009-06,5.470,
2009-07,5.334,
2009-08,5.209,
2009-09,4.897,
2009-10,5.036,
2009-11,5.231,
2009-12,4.781,
2010-01,4.678,
2010-02,4.835,
2010-03,5.074,
2010-04,4.910,
2010-05,5.261,
2010-06,5.439,
2010-07,5.231,
2010-08,4.903,
2010-09,5.485,
2010-10,5.533,
2010-11,5.568,
2010-12,5.144,
2011-01,5.958,
2011-02,6.317,
2011-03,6.058,
2011-04,6.173,
2011-05,6.201,
2011-06,6.173,
2011-07,6.079,
2011-08,5.557,
2011-09,6.269,
2011-10,6.305,
2011-11,6.226,
2011-12,6.106,
2012-01,6.070,
2012-02,6.266,
2012-03,6.137,
2012-04,5.977,
2012-05,5.895,
2012-06,6.108,
2012-07,5.735,
2012-08,5.398,
2012-09,5.765,
2012-10,5.737,
2012-11,5.966,
2012-12,5.748,
2013-01,5.578,
2013-02,5.836,
2013-03,5.921,
2013-04,5.733,
2013-05,5.878,
2013-06,5.988,
2013-07,5.625,
2013-08,5.400,
2013-09,5.562,
2013-10,5.644,
2013-11,5.968,
2013-12,5.734,
2014-01,5.577,
2014-02,5.918,
2014-03,5.936,
2014-04,5.984,
2014-05,5.935,
2014-06,6.065,
2014-07,5.960,
2014-08,5.497,
2014-09,5.853,
2014-10,5.884,
2014-11,6.122,
2014-12,5.963,
