"",BBK01.OEAF36K,BBK01.OEAF36K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:08:10,
2002-01,2.679,
2002-04,2.806,
2002-07,3.110,
2002-10,2.695,
2003-01,2.636,
2003-04,2.739,
2003-07,4.036,
2003-10,3.814,
2004-01,4.431,
2004-04,4.154,
2004-07,4.389,
2004-10,5.125,
2005-01,4.778,
2005-04,4.794,
2005-07,4.985,
2005-10,5.043,
2006-01,5.028,
2006-04,5.056,
2006-07,5.112,
2006-10,5.199,
2007-01,4.994,
2007-04,5.000,
2007-07,5.089,
2007-10,4.948,
2008-01,4.962,
2008-04,5.007,
2008-07,5.054,
2008-10,5.295,
2009-01,5.247,
2009-04,5.306,
2009-07,5.406,
2009-10,5.359,
2010-01,5.302,
2010-04,5.527,
2010-07,5.789,
2010-10,5.618,
2011-01,5.617,
2011-04,5.662,
2011-07,5.729,
2011-10,5.776,
2012-01,5.770,
2012-04,5.768,
2012-07,5.750,
2012-10,5.896,
2013-01,5.870,
2013-04,5.764,
2013-07,4.215,
2013-10,4.152,
2014-01,4.144,
2014-04,4.332,
2014-07,3.710,
