"",BBFB1.Q.N.DE.SE.S1.S1.T.L.FA._T.F._Z._T._X.N,BBFB1.Q.N.DE.SE.S1.S1.T.L.FA._T.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Sweden,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:37,
1991-01,388.060,
1991-04,542.081,
1991-07,-28.831,
1991-10,-361.749,
1992-01,-116.310,
1992-04,-251.747,
1992-07,-562.021,
1992-10,-482.112,
1993-01,-173.456,
1993-04,139.838,
1993-07,78.606,
1993-10,-301.779,
1994-01,311.861,
1994-04,-355.817,
1994-07,-144.177,
1994-10,-379.967,
1995-01,191.002,
1995-04,-355.841,
1995-07,72.710,
1995-10,-261.306,
1996-01,2.267,
1996-04,-597.912,
1996-07,332.654,
1996-10,206.351,
1997-01,-42.785,
1997-04,1004.409,
1997-07,-255.789,
1997-10,122.841,
1998-01,-227.271,
1998-04,1966.064,
1998-07,-813.391,
1998-10,2404.014,
1999-01,331.764,
1999-04,995.415,
1999-07,58.956,
1999-10,-554.215,
2000-01,5255.159,
2000-04,-1020.597,
2000-07,-476.735,
2000-10,889.439,
2001-01,-415.423,
2001-04,990.106,
2001-07,1190.239,
2001-10,688.852,
2002-01,1136.044,
2002-04,302.887,
2002-07,1163.438,
2002-10,1838.559,
2003-01,-1574.001,
2003-04,676.469,
2003-07,505.638,
2003-10,737.755,
2004-01,3173.697,
2004-04,1213.283,
2004-07,-1316.581,
2004-10,7519.628,
2005-01,631.183,
2005-04,153.239,
2005-07,3441.823,
2005-10,1174.056,
2006-01,-225.956,
2006-04,555.976,
2006-07,398.126,
2006-10,260.315,
2007-01,4287.786,
2007-04,2931.410,
2007-07,-2601.025,
2007-10,1885.496,
2008-01,-469.994,
2008-04,-3101.946,
2008-07,2463.589,
2008-10,-1695.136,
2009-01,321.141,
2009-04,5708.163,
2009-07,-7343.512,
2009-10,4072.207,
2010-01,2783.636,
2010-04,5921.977,
2010-07,861.280,
2010-10,1457.289,
2011-01,-3457.520,
2011-04,-686.583,
2011-07,4385.076,
2011-10,2076.662,
2012-01,6013.556,
2012-04,-6756.778,
2012-07,4538.308,
2012-10,-5030.759,
2013-01,5139.554,
2013-04,16.404,
2013-07,-1623.009,
2013-10,-1264.811,
2014-01,-517.833,Provisional value
2014-04,52.000,Provisional value
2014-07,3083.541,Provisional value
2014-10,404.778,Provisional value
