"",BBK01.OELI02V,BBK01.OELI02V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:55:37,
2002-01,2.445,
2002-04,2.453,
2002-07,2.686,
2002-10,2.796,
2003-01,2.687,
2003-04,2.714,
2003-07,2.780,
2003-10,2.886,
2004-01,2.772,
2004-04,2.669,
2004-07,2.844,
2004-10,3.037,
2005-01,2.923,
2005-04,2.905,
2005-07,2.981,
2005-10,3.203,
2006-01,3.111,
2006-04,3.089,
2006-07,3.170,
2006-10,3.289,
2007-01,3.249,
2007-04,3.312,
2007-07,3.458,
2007-10,3.634,
2008-01,3.516,
2008-04,3.563,
2008-07,3.584,
2008-10,3.876,
2009-01,3.898,
2009-04,4.179,
2009-07,4.485,
2009-10,4.730,
2010-01,4.725,
2010-04,4.788,
2010-07,4.976,
2010-10,5.066,
2011-01,4.872,
2011-04,4.919,
2011-07,4.960,
2011-10,5.237,
2012-01,5.216,
2012-04,5.307,
2012-07,5.653,
2012-10,5.804,
2013-01,5.845,
2013-04,6.193,
2013-07,6.523,
2013-10,6.798,
2014-01,6.701,
2014-04,6.953,
2014-07,7.275,
