"",BBK01.OEAH21S,BBK01.OEAH21S_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:30:15,
2002-01,4.044,
2002-04,4.087,
2002-07,4.107,
2002-10,4.387,
2003-01,4.501,
2003-04,4.551,
2003-07,4.568,
2003-10,4.818,
2004-01,4.881,
2004-04,4.928,
2004-07,4.944,
2004-10,3.725,
2005-01,3.896,
2005-04,3.960,
2005-07,3.986,
2005-10,4.152,
2006-01,4.223,
2006-04,4.261,
2006-07,4.252,
2006-10,4.392,
2007-01,4.409,
2007-04,4.399,
2007-07,4.367,
2007-10,4.451,
2008-01,4.430,
2008-04,4.350,
2008-07,4.279,
2008-10,4.292,
2009-01,4.294,
2009-04,4.318,
2009-07,4.403,
2009-10,4.655,
2010-01,4.731,
2010-04,4.731,
2010-07,4.759,
2010-10,4.849,
2011-01,4.861,
2011-04,4.818,
2011-07,4.824,
2011-10,4.994,
2012-01,5.074,
2012-04,5.134,
2012-07,5.197,
2012-10,5.211,
2013-01,5.250,
2013-04,5.481,
2013-07,5.554,
2013-10,5.604,
2014-01,5.697,
2014-04,5.772,
2014-07,5.862,
