"",BBK01.BJ8068,BBK01.BJ8068_FLAGS
"",General government debt as defined in the Maastricht Treaty as a % of GDP - Germany - social security funds,
unit,% (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-16 16:34:20,
1991,0.0,
1992,0.0,
1993,0.0,
1994,0.0,
1995,0.0,
1996,0.1,
1997,0.1,
1998,0.1,
1999,0.1,
2000,0.1,
2001,0.1,
2002,0.1,
2003,0.2,
2004,0.2,
2005,0.1,
2006,0.1,
2007,0.1,
2008,0.1,
2009,0.1,
2010,0.1,Provisional value
2011,0.0,Provisional value
2012,0.0,Provisional value
2013,0.0,Provisional value
