"",BBDE1.M.DE.Y.AEA1.A2Q610000.F.C.I10.A,BBDE1.M.DE.Y.AEA1.A2Q610000.F.C.I10.A_FLAGS
"",Orders received / At constant prices / Germany / Capital goods excluding 30 Manufacture of other transport equipment / Calendar and seasonally adjusted,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:18:01,
1995-01,62.0,
1995-02,63.8,
1995-03,63.4,
1995-04,61.8,
1995-05,63.5,
1995-06,61.1,
1995-07,62.3,
1995-08,61.2,
1995-09,63.1,
1995-10,60.2,
1995-11,60.5,
1995-12,63.6,
1996-01,62.0,
1996-02,61.1,
1996-03,63.7,
1996-04,64.3,
1996-05,64.1,
1996-06,64.6,
1996-07,64.4,
1996-08,65.2,
1996-09,64.2,
1996-10,67.3,
1996-11,65.7,
1996-12,64.7,
1997-01,66.6,
1997-02,64.4,
1997-03,68.4,
1997-04,68.9,
1997-05,67.8,
1997-06,68.7,
1997-07,68.7,
1997-08,68.3,
1997-09,70.3,
1997-10,69.2,
1997-11,70.3,
1997-12,69.2,
1998-01,72.1,
1998-02,71.5,
1998-03,73.1,
1998-04,74.1,
1998-05,72.2,
1998-06,73.3,
1998-07,73.4,
1998-08,71.5,
1998-09,73.2,
1998-10,71.2,
1998-11,71.5,
1998-12,74.6,
1999-01,72.0,
1999-02,71.8,
1999-03,72.1,
1999-04,73.1,
1999-05,73.3,
1999-06,76.5,
1999-07,76.2,
1999-08,79.5,
1999-09,77.7,
1999-10,77.9,
1999-11,79.0,
1999-12,78.9,
2000-01,78.3,
2000-02,83.0,
2000-03,82.1,
2000-04,85.5,
2000-05,86.1,
2000-06,85.6,
2000-07,87.8,
2000-08,88.2,
2000-09,88.1,
2000-10,89.2,
2000-11,89.3,
2000-12,88.6,
2001-01,87.3,
2001-02,89.6,
2001-03,87.9,
2001-04,85.3,
2001-05,87.2,
2001-06,86.3,
2001-07,85.6,
2001-08,87.0,
2001-09,84.6,
2001-10,83.1,
2001-11,82.6,
2001-12,85.7,
2002-01,84.4,
2002-02,82.7,
2002-03,84.6,
2002-04,85.0,
2002-05,87.0,
2002-06,86.9,
2002-07,85.0,
2002-08,90.4,
2002-09,86.8,
2002-10,86.1,
2002-11,88.0,
2002-12,83.2,
2003-01,87.1,
2003-02,87.3,
2003-03,84.2,
2003-04,84.6,
2003-05,83.7,
2003-06,83.7,
2003-07,85.5,
2003-08,85.6,
2003-09,86.8,
2003-10,88.2,
2003-11,89.5,
2003-12,90.3,
2004-01,88.3,
2004-02,89.3,
2004-03,91.6,
2004-04,92.9,
2004-05,94.0,
2004-06,92.8,
2004-07,93.9,
2004-08,90.8,
2004-09,92.0,
2004-10,92.1,
2004-11,90.9,
2004-12,95.9,
2005-01,94.1,
2005-02,91.7,
2005-03,94.1,
2005-04,94.2,
2005-05,93.5,
2005-06,98.6,
2005-07,97.6,
2005-08,97.6,
2005-09,100.1,
2005-10,102.7,
2005-11,103.9,
2005-12,100.5,
2006-01,105.8,
2006-02,103.1,
2006-03,103.4,
2006-04,106.4,
2006-05,107.6,
2006-06,104.5,
2006-07,105.7,
2006-08,108.4,
2006-09,109.0,
2006-10,109.4,
2006-11,108.9,
2006-12,109.8,
2007-01,114.2,
2007-02,118.2,
2007-03,116.9,
2007-04,113.1,
2007-05,118.5,
2007-06,119.1,
2007-07,119.1,
2007-08,118.2,
2007-09,116.6,
2007-10,123.1,
2007-11,120.9,
2007-12,124.9,
2008-01,120.3,
2008-02,121.1,
2008-03,118.9,
2008-04,120.9,
2008-05,112.5,
2008-06,112.3,
2008-07,106.8,
2008-08,112.3,
2008-09,104.8,
2008-10,94.8,
2008-11,87.4,
2008-12,79.6,
2009-01,72.6,
2009-02,73.5,
2009-03,77.1,
2009-04,74.1,
2009-05,76.5,
2009-06,80.4,
2009-07,77.5,
2009-08,84.9,
2009-09,87.0,
2009-10,84.9,
2009-11,88.6,
2009-12,87.1,
2010-01,85.8,
2010-02,90.8,
2010-03,92.9,
2010-04,98.5,
2010-05,99.8,
2010-06,100.1,
2010-07,100.9,
2010-08,103.4,
2010-09,102.7,
2010-10,103.9,
2010-11,109.7,
2010-12,106.4,
2011-01,110.3,
2011-02,111.9,
2011-03,107.9,
2011-04,107.6,
2011-05,105.7,
2011-06,112.4,
2011-07,110.5,
2011-08,108.5,
2011-09,107.0,
2011-10,108.0,
2011-11,105.2,
2011-12,105.1,
2012-01,104.9,
2012-02,106.5,
2012-03,106.3,
2012-04,107.1,
2012-05,108.4,
2012-06,106.5,
2012-07,107.7,
2012-08,105.2,
2012-09,105.2,
2012-10,105.2,
2012-11,104.1,
2012-12,107.3,
2013-01,104.3,
2013-02,105.2,
2013-03,108.2,
2013-04,106.2,
2013-05,108.3,
2013-06,111.5,
2013-07,106.0,
2013-08,112.4,
2013-09,110.2,
2013-10,107.4,
2013-11,110.8,
2013-12,113.6,
2014-01,113.3,
2014-02,111.9,
2014-03,111.2,
2014-04,110.8,
2014-05,108.5,
2014-06,111.4,
2014-07,113.3,
2014-08,112.1,
2014-09,113.8,
2014-10,116.7,
2014-11,114.0,
2014-12,118.8,Provisional value
