"",BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.U3.S1.S1.T.A.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net domestic financial investment abroad / Other investment / Intra EU Extra Euro Area (EU Member States and institutions not belonging to the Euro area) changing composition,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:43:04,
1991-01,3070.393,
1991-04,-4781.678,
1991-07,-230.516,
1991-10,1798.363,
1992-01,1500.477,
1992-04,-2014.480,
1992-07,1297.330,
1992-10,9583.853,
1993-01,8232.633,
1993-04,8290.238,
1993-07,4656.802,
1993-10,21607.260,
1994-01,-5800.029,
1994-04,-8499.694,
1994-07,-5341.545,
1994-10,12528.665,
1995-01,-853.645,
1995-04,10399.813,
1995-07,2904.234,
1995-10,-3729.987,
1996-01,-9591.276,
1996-04,1716.796,
1996-07,-3931.174,
1996-10,12204.960,
1997-01,4433.391,
1997-04,8811.780,
1997-07,3010.020,
1997-10,8719.143,
1998-01,17530.325,
1998-04,-957.988,
1998-07,3064.294,
1998-10,-10645.614,
1999-01,21416.716,
1999-04,-6314.293,
1999-07,-3476.345,
1999-10,-16903.383,
2000-01,27230.625,
2000-04,-9096.759,
2000-07,6007.389,
2000-10,-4964.587,
2001-01,34649.534,
2001-04,-1240.990,
2001-07,29324.149,
2001-10,3458.139,
2002-01,-1873.548,
2002-04,15701.668,
2002-07,26420.402,
2002-10,6842.344,
2003-01,45019.228,
2003-04,32200.943,
2003-07,-11986.977,
2003-10,14134.892,
2004-01,55667.812,
2004-04,-17070.100,
2004-07,39577.984,
2004-10,13586.424,
2005-01,46789.423,
2005-04,-8413.708,
2005-07,2493.834,
2005-10,-52466.189,
2006-01,78679.030,
2006-04,24604.595,
2006-07,4113.598,
2006-10,2843.109,
2007-01,34586.589,
2007-04,24303.207,
2007-07,54.216,
2007-10,-16224.146,
2008-01,44383.420,
2008-04,-27208.040,
2008-07,21237.713,
2008-10,-51843.121,
2009-01,-57676.166,
2009-04,7026.343,
2009-07,-47988.974,
2009-10,-2262.002,
2010-01,8188.637,
2010-04,-3896.142,
2010-07,-19072.539,
2010-10,17397.390,
2011-01,-10050.788,
2011-04,4439.321,
2011-07,2626.639,
2011-10,-8580.784,
2012-01,9941.872,
2012-04,-5487.613,
2012-07,12019.581,
2012-10,-34194.560,
2013-01,-884.352,
2013-04,-22020.660,
2013-07,-20272.569,
2013-10,17661.592,
2014-01,27920.888,Provisional value
2014-04,-5522.572,Provisional value
2014-07,-13867.332,Provisional value
2014-10,-27468.561,Provisional value
