"",BBFB1.M.Y.DE.W1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N,BBFB1.M.Y.DE.W1.S1.S1.T.D.IN1._Z._Z._Z._T._X.N_FLAGS
"",Balance of payments / Primary income / Debit (Uses) / All countries / Calendar and seasonally adjusted,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 14:49:16,
1991-01,4.11,
1991-02,4.02,
1991-03,4.12,
1991-04,4.37,
1991-05,4.38,
1991-06,5.60,
1991-07,4.73,
1991-08,4.41,
1991-09,4.42,
1991-10,4.64,
1991-11,4.59,
1991-12,4.97,
1992-01,4.36,
1992-02,4.36,
1992-03,4.64,
1992-04,4.52,
1992-05,4.57,
1992-06,4.96,
1992-07,4.82,
1992-08,4.69,
1992-09,4.81,
1992-10,4.67,
1992-11,4.86,
1992-12,4.62,
1993-01,5.09,
1993-02,5.19,
1993-03,5.09,
1993-04,5.32,
1993-05,5.06,
1993-06,4.90,
1993-07,4.89,
1993-08,5.05,
1993-09,5.17,
1993-10,5.11,
1993-11,5.12,
1993-12,4.95,
1994-01,5.46,
1994-02,5.32,
1994-03,5.37,
1994-04,5.32,
1994-05,5.60,
1994-06,5.01,
1994-07,5.46,
1994-08,5.42,
1994-09,5.50,
1994-10,5.32,
1994-11,5.98,
1994-12,5.97,
1995-01,5.84,
1995-02,5.76,
1995-03,5.93,
1995-04,5.67,
1995-05,5.65,
1995-06,5.74,
1995-07,5.93,
1995-08,5.98,
1995-09,5.81,
1995-10,6.06,
1995-11,6.22,
1995-12,6.03,
1996-01,5.50,
1996-02,5.63,
1996-03,5.26,
1996-04,5.83,
1996-05,5.61,
1996-06,5.76,
1996-07,7.34,
1996-08,6.09,
1996-09,6.75,
1996-10,6.05,
1996-11,6.27,
1996-12,6.04,
1997-01,6.71,
1997-02,6.76,
1997-03,6.62,
1997-04,6.60,
1997-05,7.23,
1997-06,7.27,
1997-07,7.08,
1997-08,6.63,
1997-09,6.95,
1997-10,7.60,
1997-11,7.32,
1997-12,7.25,
1998-01,6.95,
1998-02,7.03,
1998-03,7.39,
1998-04,7.49,
1998-05,7.47,
1998-06,9.07,
1998-07,8.56,
1998-08,7.53,
1998-09,7.71,
1998-10,7.71,
1998-11,7.45,
1998-12,9.07,
1999-01,8.20,
1999-02,8.95,
1999-03,8.25,
1999-04,8.18,
1999-05,9.28,
1999-06,8.69,
1999-07,8.71,
1999-08,8.83,
1999-09,9.31,
1999-10,9.45,
1999-11,9.46,
1999-12,11.32,
2000-01,9.28,
2000-02,10.25,
2000-03,10.41,
2000-04,10.74,
2000-05,10.39,
2000-06,11.10,
2000-07,11.42,
2000-08,11.97,
2000-09,11.71,
2000-10,11.48,
2000-11,11.96,
2000-12,12.75,
2001-01,11.05,
2001-02,11.05,
2001-03,10.73,
2001-04,10.65,
2001-05,10.31,
2001-06,9.98,
2001-07,10.05,
2001-08,9.98,
2001-09,9.87,
2001-10,10.02,
2001-11,9.87,
2001-12,9.61,
2002-01,11.47,
2002-02,10.95,
2002-03,11.13,
2002-04,10.38,
2002-05,11.07,
2002-06,11.09,
2002-07,11.25,
2002-08,11.34,
2002-09,11.31,
2002-10,11.33,
2002-11,11.29,
2002-12,11.02,
2003-01,11.28,
2003-02,10.74,
2003-03,10.60,
2003-04,11.06,
2003-05,10.32,
2003-06,10.99,
2003-07,10.88,
2003-08,10.96,
2003-09,11.00,
2003-10,10.85,
2003-11,11.00,
2003-12,11.15,
2004-01,10.83,
2004-02,10.51,
2004-03,10.55,
2004-04,10.58,
2004-05,9.02,
2004-06,10.67,
2004-07,10.12,
2004-08,10.26,
2004-09,10.66,
2004-10,10.53,
2004-11,10.90,
2004-12,11.08,
2005-01,11.70,
2005-02,11.89,
2005-03,11.94,
2005-04,12.22,
2005-05,10.39,
2005-06,11.94,
2005-07,12.35,
2005-08,12.54,
2005-09,12.71,
2005-10,12.79,
2005-11,12.99,
2005-12,13.18,
2006-01,12.55,
2006-02,12.94,
2006-03,13.81,
2006-04,11.44,
2006-05,13.98,
2006-06,13.87,
2006-07,13.80,
2006-08,14.26,
2006-09,14.46,
2006-10,14.86,
2006-11,15.12,
2006-12,15.56,
2007-01,17.02,
2007-02,17.23,
2007-03,17.09,
2007-04,16.58,
2007-05,18.05,
2007-06,17.33,
2007-07,17.95,
2007-08,17.59,
2007-09,16.96,
2007-10,17.01,
2007-11,16.91,
2007-12,16.16,
2008-01,16.09,
2008-02,15.42,
2008-03,15.09,
2008-04,15.56,
2008-05,14.44,
2008-06,14.15,
2008-07,13.88,
2008-08,13.12,
2008-09,12.85,
2008-10,12.49,
2008-11,12.42,
2008-12,12.17,
2009-01,11.80,
2009-02,10.86,
2009-03,10.26,
2009-04,11.63,
2009-05,11.15,
2009-06,9.70,
2009-07,9.84,
2009-08,9.95,
2009-09,9.99,
2009-10,10.11,
2009-11,10.18,
2009-12,10.52,
2010-01,10.75,
2010-02,11.90,
2010-03,11.93,
2010-04,11.86,
2010-05,12.11,
2010-06,12.87,
2010-07,12.55,
2010-08,12.79,
2010-09,12.83,
2010-10,12.90,
2010-11,12.88,
2010-12,13.15,
2011-01,12.54,
2011-02,12.41,
2011-03,12.14,
2011-04,11.27,
2011-05,14.79,
2011-06,12.10,
2011-07,12.20,
2011-08,12.19,
2011-09,12.19,
2011-10,12.08,
2011-11,12.26,
2011-12,12.10,
2012-01,12.32,
2012-02,11.82,
2012-03,11.91,
2012-04,12.42,
2012-05,11.74,
2012-06,11.33,
2012-07,11.75,
2012-08,11.55,
2012-09,11.69,
2012-10,11.58,
2012-11,11.51,
2012-12,11.43,
2013-01,11.59,
2013-02,11.64,
2013-03,11.67,
2013-04,12.40,
2013-05,9.69,
2013-06,11.42,
2013-07,11.30,
2013-08,11.27,
2013-09,12.26,
2013-10,11.26,
2013-11,11.01,
2013-12,10.95,
2014-01,11.15,
2014-02,11.16,Provisional value
2014-03,11.03,Provisional value
2014-04,10.72,Provisional value
2014-05,12.55,Provisional value
2014-06,11.84,Provisional value
2014-07,11.21,Provisional value
2014-08,11.07,Provisional value
2014-09,10.74,
2014-10,10.72,
2014-11,10.60,
2014-12,10.71,Provisional value
