"",BBFN1.M.DE.N.1.L.W00200.S1P.F0.S.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.W00200.S1P.F0.S.BN00.Z01.BGA.X001.D_FLAGS
1975-08,.,No value available
1975-09,.,No value available
1975-10,.,No value available
1975-11,.,No value available
1975-12,6.307,
1976-01,.,No value available
1976-02,.,No value available
1976-03,.,No value available
1976-04,.,No value available
1976-05,.,No value available
1976-06,.,No value available
1976-07,.,No value available
1976-08,.,No value available
1976-09,.,No value available
1976-10,.,No value available
1976-11,.,No value available
1976-12,7.560,
1977-01,.,No value available
1977-02,.,No value available
1977-03,.,No value available
1977-04,.,No value available
1977-05,.,No value available
1977-06,.,No value available
1977-07,.,No value available
1977-08,.,No value available
1977-09,.,No value available
1977-10,.,No value available
1977-11,.,No value available
1977-12,11.851,
1978-01,.,No value available
1978-02,.,No value available
1978-03,.,No value available
1978-04,.,No value available
1978-05,.,No value available
1978-06,.,No value available
1978-07,.,No value available
1978-08,.,No value available
1978-09,.,No value available
1978-10,.,No value available
1978-11,.,No value available
1978-12,13.293,
1979-01,.,No value available
1979-02,.,No value available
1979-03,.,No value available
1979-04,.,No value available
1979-05,.,No value available
1979-06,.,No value available
1979-07,.,No value available
1979-08,.,No value available
1979-09,.,No value available
1979-10,.,No value available
1979-11,.,No value available
1979-12,12.477,
1980-01,.,No value available
1980-02,.,No value available
1980-03,.,No value available
1980-04,.,No value available
1980-05,.,No value available
1980-06,.,No value available
1980-07,.,No value available
1980-08,.,No value available
1980-09,.,No value available
1980-10,.,No value available
1980-11,.,No value available
1980-12,20.572,
1981-01,.,No value available
1981-02,.,No value available
1981-03,.,No value available
1981-04,.,No value available
1981-05,.,No value available
1981-06,.,No value available
1981-07,.,No value available
1981-08,.,No value available
1981-09,.,No value available
1981-10,.,No value available
1981-11,.,No value available
1981-12,27.310,
1982-01,.,No value available
1982-02,.,No value available
1982-03,.,No value available
1982-04,.,No value available
1982-05,.,No value available
1982-06,.,No value available
1982-07,.,No value available
1982-08,.,No value available
1982-09,34.106,
1982-10,34.260,
1982-11,34.488,
1982-12,30.325,
1983-01,32.894,
1983-02,33.435,
1983-03,32.704,
1983-04,31.988,
1983-05,31.595,
1983-06,31.914,
1983-07,32.059,
1983-08,32.367,
1983-09,31.585,
1983-10,32.274,
1983-11,32.473,
1983-12,30.369,
1984-01,31.023,
1984-02,32.248,
1984-03,31.901,
1984-04,32.221,
1984-05,32.171,
1984-06,32.673,
1984-07,33.346,
1984-08,34.395,
1984-09,34.124,
1984-10,34.162,
1984-11,34.826,
1984-12,31.520,
1985-01,31.593,
1985-02,32.355,
1985-03,32.282,
1985-04,32.108,
1985-05,32.243,
1985-06,32.804,
1985-07,32.698,
1985-08,33.553,
1985-09,32.675,
1985-10,32.640,
1985-11,32.897,
1985-12,31.951,
1986-01,32.080,
1986-02,31.973,
1986-03,32.170,
1986-04,31.681,
1986-05,31.319,
1986-06,30.271,
1986-07,29.820,
1986-08,29.671,
1986-09,28.333,
1986-10,29.587,
1986-11,28.929,
1986-12,25.422,
1987-01,26.216,
1987-02,26.576,
1987-03,25.805,
1987-04,25.104,
1987-05,24.844,
1987-06,24.859,
1987-07,25.058,
1987-08,25.374,
1987-09,25.369,
1987-10,26.471,
1987-11,26.440,
1987-12,24.997,
1988-01,26.412,
1988-02,26.563,
1988-03,26.428,
1988-04,26.317,
1988-05,26.551,
1988-06,26.977,
1988-07,27.161,
1988-08,27.516,
1988-09,27.535,
1988-10,28.000,
1988-11,27.882,
1988-12,25.172,
1989-01,26.345,
1989-02,26.287,
1989-03,26.997,
1989-04,26.654,
1989-05,27.207,
1989-06,28.021,
1989-07,27.891,
1989-08,29.018,
1989-09,29.958,
1989-10,30.581,
1989-11,31.661,
1989-12,29.966,
1990-01,31.559,
1990-02,33.283,
1990-03,34.722,
1990-04,35.989,
1990-05,34.623,
1990-06,34.823,
1990-07,34.054,
1990-08,36.175,
1990-09,37.184,
1990-10,37.965,
1990-11,39.666,
1990-12,37.138,
1991-01,38.618,
1991-02,40.678,
1991-03,41.894,
1991-04,43.334,
1991-05,44.000,
1991-06,46.546,
1991-07,47.763,
1991-08,49.291,
1991-09,49.265,
1991-10,50.471,
1991-11,49.765,
1991-12,49.356,
1992-01,47.341,
1992-02,46.923,
1992-03,44.573,
1992-04,43.982,
1992-05,45.449,
1992-06,45.720,
1992-07,48.357,
1992-08,48.925,
1992-09,50.753,
1992-10,51.191,
1992-11,52.829,
1992-12,51.179,
1993-01,53.784,
1993-02,53.565,
1993-03,53.728,
1993-04,55.124,
1993-05,54.882,
1993-06,53.254,
1993-07,52.480,
1993-08,53.888,
1993-09,52.905,
1993-10,53.355,
1993-11,51.724,
1993-12,50.885,
1994-01,49.996,
1994-02,51.217,
1994-03,51.960,
1994-04,51.615,
1994-05,52.707,
1994-06,51.892,
1994-07,51.454,
1994-08,51.923,
1994-09,51.924,
1994-10,52.302,
1994-11,52.507,
1994-12,50.912,
1995-01,51.606,
1995-02,52.073,
1995-03,54.023,
1995-04,54.678,
1995-05,55.684,
1995-06,54.787,
1995-07,54.410,
1995-08,54.107,
1995-09,55.401,
1995-10,55.992,
1995-11,56.790,
1995-12,54.754,
1996-01,54.469,
1996-02,58.342,
1996-03,57.895,
1996-04,60.175,
1996-05,63.658,
1996-06,59.794,
1996-07,56.857,
1996-08,57.638,
1996-09,61.196,
1996-10,62.225,
1996-11,62.969,
1996-12,66.009,
1997-01,64.557,
1997-02,68.804,
1997-03,71.436,
1997-04,74.105,
1997-05,73.550,
1997-06,76.469,
1997-07,75.978,
1997-08,69.667,
1997-09,71.721,
1997-10,69.310,
1997-11,70.223,
1997-12,73.908,
1998-01,72.099,
1998-02,74.257,
1998-03,83.137,
1998-04,86.159,
1998-05,88.731,
1998-06,81.779,
1998-07,77.488,
1998-08,74.352,
1998-09,76.951,
1998-10,72.941,
1998-11,77.616,
1998-12,74.268,
1999-01,77.421,
1999-02,80.119,
1999-03,87.941,
1999-04,94.861,
1999-05,98.256,
1999-06,104.481,
1999-07,97.178,
1999-08,99.025,
1999-09,97.466,
1999-10,101.398,
1999-11,103.041,
1999-12,117.822,
2000-01,119.726,
2000-02,130.444,
2000-03,142.941,
2000-04,147.872,
2000-05,162.101,
2000-06,163.598,
2000-07,145.644,
2000-08,161.155,
2000-09,184.852,
2000-10,185.889,
2000-11,184.599,
2000-12,179.263,
2001-01,187.995,
2001-02,190.576,
2001-03,187.386,
2001-04,190.746,
2001-05,192.557,
2001-06,192.594,
2001-07,192.177,
2001-08,187.068,
2001-09,192.983,
2001-10,192.869,
2001-11,179.898,
2001-12,183.082,
2002-01,176.338,
2002-02,180.589,
2002-03,181.370,
2002-04,182.799,
2002-05,176.871,
2002-06,172.882,
2002-07,165.439,
2002-08,164.490,
2002-09,168.900,
2002-10,169.007,
2002-11,167.304,
2002-12,160.400,
2003-01,169.409,
2003-02,168.561,
2003-03,170.897,
2003-04,173.980,
2003-05,177.172,
2003-06,178.381,
2003-07,181.476,
2003-08,180.295,
2003-09,181.882,
2003-10,167.111,
2003-11,172.501,
2003-12,172.914,
2004-01,176.792,
2004-02,182.892,
2004-03,177.211,
2004-04,170.699,
2004-05,171.702,
2004-06,171.724,
2004-07,172.772,
2004-08,172.111,
2004-09,169.331,
2004-10,165.743,
2004-11,166.516,
2004-12,164.731,
2005-01,155.769,
2005-02,155.283,
2005-03,156.817,
2005-04,151.347,
2005-05,154.124,
2005-06,156.742,
2005-07,157.626,
2005-08,159.939,
2005-09,167.284,
2005-10,170.346,
2005-11,169.996,
2005-12,178.701,
2006-01,178.858,
2006-02,187.931,
2006-03,186.985,
2006-04,185.518,
2006-05,195.866,
2006-06,198.262,
2006-07,195.339,
2006-08,197.938,
2006-09,211.166,
2006-10,207.453,
2006-11,209.550,
2006-12,210.674,
2007-01,222.680,
2007-02,234.008,
2007-03,228.342,
2007-04,227.134,
2007-05,234.008,
2007-06,243.453,
2007-07,239.619,
2007-08,234.199,
2007-09,238.991,
2007-10,230.227,
2007-11,228.201,
2007-12,222.703,
2008-01,221.038,
2008-02,222.057,
2008-03,223.426,
2008-04,225.630,
2008-05,220.285,
2008-06,230.574,
2008-07,217.072,
2008-08,215.610,
2008-09,218.150,
2008-10,230.080,
2008-11,227.465,
2008-12,229.514,
2009-01,221.181,
2009-02,217.921,
2009-03,219.461,
2009-04,223.932,
2009-05,215.959,
2009-06,214.046,
2009-07,207.641,
2009-08,206.979,
2009-09,209.551,
2009-10,212.349,
2009-11,211.609,
2009-12,231.463,
2010-01,216.188,
2010-02,217.005,
2010-03,219.553,
2010-04,217.287,
2010-05,225.572,
2010-06,226.521,
2010-07,232.169,
2010-08,239.556,
2010-09,247.035,
2010-10,240.870,
2010-11,246.421,
2010-12,245.423,
2011-01,252.277,
2011-02,243.235,
2011-03,240.522,
2011-04,248.304,
2011-05,252.680,
2011-06,265.089,
2011-07,273.335,
2011-08,283.272,
2011-09,302.328,
2011-10,282.863,
2011-11,293.322,
2011-12,296.917,
2012-01,295.900,
2012-02,291.673,
2012-03,308.181,
2012-04,312.171,
2012-05,321.299,
2012-06,327.953,
2012-07,326.313,
2012-08,311.395,
2012-09,321.359,
2012-10,323.084,
2012-11,323.255,
2012-12,319.861,
2013-01,319.538,
2013-02,320.380,
2013-03,330.703,
2013-04,344.526,
2013-05,343.412,
2013-06,354.011,
2013-07,342.426,
2013-08,330.403,
2013-09,332.655,
2013-10,318.195,
2013-11,323.539,
2013-12,309.636,
2014-01,313.318,
2014-02,316.623,
2014-03,319.755,
2014-04,324.733,
2014-05,324.332,
2014-06,328.108,
2014-07,333.500,
2014-08,334.465,
2014-09,322.434,
2014-10,315.201,
2014-11,318.122,
2014-12,298.505,
"","General: Up to 1994, including the former Yugoslavia and South Africa; from May 2004, including Cyprus, the Czech Republic, Estonia, Hungary, Latvia, Lithuania, Malta, Poland, the Slovak Republic and Slovenia; from January 2007, including Bulgaria and Romania.",
