"",BBK01.OEYJ03G,BBK01.OEYJ03G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:05:42,
2002-01,33.405,
2002-04,33.131,
2002-07,32.944,
2002-10,34.217,
2003-01,34.815,
2003-04,33.029,
2003-07,35.731,
2003-10,35.834,
2004-01,37.811,
2004-04,37.310,
2004-07,36.966,
2004-10,37.512,
2005-01,38.234,
2005-04,39.094,
2005-07,45.170,
2005-10,44.287,
2006-01,45.386,
2006-04,44.701,
2006-07,47.670,
2006-10,48.449,
2007-01,48.051,
2007-04,49.936,
2007-07,50.726,
2007-10,55.061,
2008-01,48.980,
2008-04,54.825,
2008-07,70.023,
2008-10,67.378,
2009-01,73.978,
2009-04,84.788,
2009-07,83.227,
2009-10,86.395,
2010-01,78.080,
2010-04,77.730,
2010-07,78.459,
2010-10,75.960,
2011-01,81.588,
2011-04,76.693,
2011-07,76.344,
2011-10,69.373,
2012-01,68.335,
2012-04,56.809,
2012-07,51.427,
2012-10,45.727,
2013-01,43.426,
2013-04,39.622,
2013-07,31.820,
2013-10,30.712,
2014-01,29.413,
2014-04,28.569,
2014-07,25.862,
