"",BBK01.OEAC29Q,BBK01.OEAC29Q_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:40,
2002-01,2.481,
2002-04,2.442,
2002-07,2.424,
2002-10,2.424,
2003-01,2.496,
2003-04,2.855,
2003-07,2.696,
2003-10,2.223,
2004-01,2.212,
2004-04,2.043,
2004-07,1.982,
2004-10,1.878,
2005-01,1.882,
2005-04,1.920,
2005-07,1.898,
2005-10,1.841,
2006-01,1.879,
2006-04,1.877,
2006-07,1.807,
2006-10,1.647,
2007-01,1.702,
2007-04,1.745,
2007-07,1.718,
2007-10,1.626,
2008-01,1.644,
2008-04,1.637,
2008-07,1.559,
2008-10,1.536,
2009-01,1.569,
2009-04,1.601,
2009-07,1.555,
2009-10,1.381,
2010-01,1.429,
2010-04,1.455,
2010-07,1.363,
2010-10,1.319,
2011-01,1.206,
2011-04,1.230,
2011-07,1.189,
2011-10,1.181,
2012-01,1.232,
2012-04,1.299,
2012-07,1.164,
2012-10,1.113,
2013-01,1.193,
2013-04,1.239,
2013-07,1.146,
2013-10,1.058,
2014-01,1.070,
2014-04,1.114,
2014-07,1.073,
