"",BBSF2.M.1.P.00000.TOT01.I.F.SVG.AT.00000.F03300.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.SVG.AT.00000.F03300.Z01.00_FLAGS
"",Public funds / Funds total / Debt securities total / Austria,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:57,
2009-09,1424,
2009-10,1432,
2009-11,1531,
2009-12,1476,
2010-01,1537,
2010-02,1632,
2010-03,1682,
2010-04,1710,
2010-05,1718,
2010-06,1885,
2010-07,1777,
2010-08,1811,
2010-09,1836,
2010-10,1781,
2010-11,1743,
2010-12,1735,
2011-01,1670,
2011-02,1642,
2011-03,1551,
2011-04,1593,
2011-05,1627,
2011-06,1579,
2011-07,1651,
2011-08,1614,
2011-09,1660,
2011-10,1598,
2011-11,1464,
2011-12,1462,
2012-01,1436,
2012-02,1414,
2012-03,1433,
2012-04,1448,
2012-05,1539,
2012-06,1531,
2012-07,1453,
2012-08,1440,
2012-09,1483,
2012-10,1487,
2012-11,1519,
2012-12,1534,
2013-01,1551,
2013-02,1554,
2013-03,1515,
2013-04,1596,
2013-05,1592,
2013-06,1562,
2013-07,1604,
2013-08,1605,
2013-09,1590,
2013-10,1587,
2013-11,1638,
2013-12,1604,
2014-01,1612,
2014-02,1598,
2014-03,1447,
2014-04,1468,
2014-05,1587,
2014-06,1542,
2014-07,1461,
2014-08,1461,
2014-09,1463,
2014-10,1504,
2014-11,1571,
