"",BBK01.OEAH49O,BBK01.OEAH49O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:28:06,
2002-01,0.061,
2002-04,0.060,
2002-07,0.059,
2002-10,0.061,
2003-01,0.062,
2003-04,0.060,
2003-07,0.050,
2003-10,0.062,
2004-01,0.070,
2004-04,0.067,
2004-07,0.063,
2004-10,0.090,
2005-01,0.134,
2005-04,0.135,
2005-07,0.131,
2005-10,0.128,
2006-01,0.126,
2006-04,0.125,
2006-07,0.126,
2006-10,0.113,
2007-01,0.106,
2007-04,0.102,
2007-07,0.100,
2007-10,0.092,
2008-01,0.092,
2008-04,0.096,
2008-07,0.094,
2008-10,0.101,
2009-01,0.104,
2009-04,0.106,
2009-07,0.117,
2009-10,0.138,
2010-01,0.170,
2010-04,0.179,
2010-07,0.180,
2010-10,0.173,
2011-01,0.177,
2011-04,0.174,
2011-07,0.175,
2011-10,0.175,
2012-01,0.175,
2012-04,0.176,
2012-07,0.173,
2012-10,0.168,
2013-01,0.158,
2013-04,0.152,
2013-07,0.151,
2013-10,0.155,
2014-01,0.145,
2014-04,0.138,
2014-07,0.136,
