"",BBSF2.M.1.P.00000.TOT01.I.F.INV.BE.00000.F05200.Z01.00,BBSF2.M.1.P.00000.TOT01.I.F.INV.BE.00000.F05200.Z01.00_FLAGS
"",Public funds / Funds total / Investment fund shares / Belgium,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:44:34,
2009-09,47,
2009-10,35,
2009-11,32,
2009-12,42,
2010-01,44,
2010-02,38,
2010-03,41,
2010-04,39,
2010-05,38,
2010-06,38,
2010-07,35,
2010-08,33,
2010-09,33,
2010-10,32,
2010-11,32,
2010-12,33,
2011-01,31,
2011-02,39,
2011-03,30,
2011-04,32,
2011-05,30,
2011-06,26,
2011-07,27,
2011-08,22,
2011-09,27,
2011-10,28,
2011-11,32,
2011-12,35,
2012-01,45,
2012-02,45,
2012-03,57,
2012-04,58,
2012-05,49,
2012-06,46,
2012-07,61,
2012-08,63,
2012-09,62,
2012-10,42,
2012-11,42,
2012-12,42,
2013-01,49,
2013-02,52,
2013-03,58,
2013-04,69,
2013-05,70,
2013-06,44,
2013-07,43,
2013-08,55,
2013-09,57,
2013-10,64,
2013-11,72,
2013-12,64,
2014-01,82,
2014-02,89,
2014-03,97,
2014-04,72,
2014-05,71,
2014-06,63,
2014-07,49,
2014-08,47,
2014-09,58,
2014-10,54,
2014-11,59,
