"",BBK01.OEAE07U,BBK01.OEAE07U_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 12:06:19,
2002-01,0.605,
2002-04,0.610,
2002-07,0.634,
2002-10,0.683,
2003-01,0.718,
2003-04,0.716,
2003-07,0.729,
2003-10,0.755,
2004-01,0.769,
2004-04,0.776,
2004-07,0.782,
2004-10,0.784,
2005-01,0.748,
2005-04,0.727,
2005-07,0.716,
2005-10,0.747,
2006-01,0.748,
2006-04,0.736,
2006-07,0.740,
2006-10,0.764,
2007-01,0.762,
2007-04,0.767,
2007-07,0.764,
2007-10,0.782,
2008-01,0.770,
2008-04,0.776,
2008-07,0.751,
2008-10,0.756,
2009-01,0.718,
2009-04,0.772,
2009-07,0.759,
2009-10,0.755,
2010-01,0.788,
2010-04,0.905,
2010-07,0.910,
2010-10,0.911,
2011-01,0.929,
2011-04,0.943,
2011-07,0.936,
2011-10,0.954,
2012-01,0.938,
2012-04,1.212,
2012-07,1.231,
2012-10,1.237,
2013-01,1.229,
2013-04,1.245,
2013-07,1.289,
2013-10,1.280,
2014-01,1.264,
2014-04,1.268,
2014-07,1.291,
