"",BBK01.OECB11P,BBK01.OECB11P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:35:14,
2002-01,0.010,
2002-04,0.012,
2002-07,0.009,
2002-10,0.010,
2003-01,0.012,
2003-04,0.011,
2003-07,0.031,
2003-10,0.037,
2004-01,0.035,
2004-04,0.034,
2004-07,0.032,
2004-10,0.029,
2005-01,0.029,
2005-04,0.031,
2005-07,0.031,
2005-10,0.024,
2006-01,0.028,
2006-04,0.021,
2006-07,0.020,
2006-10,0.033,
2007-01,0.028,
2007-04,0.030,
2007-07,0.028,
2007-10,0.030,
2008-01,0.027,
2008-04,0.031,
2008-07,0.027,
2008-10,0.047,
2009-01,0.027,
2009-04,0.028,
2009-07,0.029,
2009-10,0.037,
2010-01,0.032,
2010-04,0.035,
2010-07,0.035,
2010-10,0.035,
2011-01,0.036,
2011-04,0.042,
2011-07,0.043,
2011-10,0.042,
2012-01,0.044,
2012-04,0.041,
2012-07,0.041,
2012-10,0.039,
2013-01,0.042,
2013-04,0.041,
2013-07,0.077,
2013-10,0.079,
2014-01,0.074,
2014-04,0.074,
2014-07,0.068,
