"",BBK01.OEBL09O,BBK01.OEBL09O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:07,
2002-01,-0.158,
2002-04,-0.127,
2002-07,-0.054,
2002-10,-0.033,
2003-01,-0.042,
2003-04,-0.054,
2003-07,-0.069,
2003-10,-0.075,
2004-01,-0.051,
2004-04,-0.053,
2004-07,-0.057,
2004-10,-0.056,
2005-01,0.287,
2005-04,0.271,
2005-07,0.235,
2005-10,0.227,
2006-01,0.227,
2006-04,0.229,
2006-07,0.240,
2006-10,0.265,
2007-01,0.415,
2007-04,0.470,
2007-07,0.520,
2007-10,0.606,
2008-01,0.655,
2008-04,0.669,
2008-07,0.703,
2008-10,1.050,
2009-01,1.007,
2009-04,1.004,
2009-07,1.010,
2009-10,0.791,
2010-01,0.625,
2010-04,0.601,
2010-07,0.567,
2010-10,0.733,
2011-01,0.896,
2011-04,0.928,
2011-07,0.946,
2011-10,0.881,
2012-01,0.779,
2012-04,0.776,
2012-07,0.723,
2012-10,0.590,
2013-01,0.474,
2013-04,0.383,
2013-07,0.349,
2013-10,0.324,
2014-01,0.313,
2014-04,0.293,
2014-07,0.411,
