"",BBK01.CEF0C0,BBK01.CEF0C0_FLAGS
"",Total liabilities                                       debtor: General government                        creditor: Total,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-18 14:33:53,
1999-01,1269.3,
1999-04,1259.9,
1999-07,1245.0,
1999-10,1252.6,
2000-01,1273.9,
2000-04,1273.4,
2000-07,1278.6,
2000-10,1274.8,
2001-01,1271.1,
2001-04,1255.4,
2001-07,1276.7,
2001-10,1293.8,
2002-01,1303.4,
2002-04,1309.5,
2002-07,1353.8,
2002-10,1363.9,
2003-01,1412.1,
2003-04,1441.6,
2003-07,1435.9,
2003-10,1447.0,
2004-01,1509.4,
2004-04,1497.8,
2004-07,1527.7,
2004-10,1545.7,
2005-01,1569.2,
2005-04,1611.2,
2005-07,1633.2,
2005-10,1623.4,
2006-01,1624.9,
2006-04,1618.4,
2006-07,1646.1,
2006-10,1643.4,
2007-01,1636.2,
2007-04,1622.2,
2007-07,1616.0,
2007-10,1623.1,
2008-01,1658.7,
2008-04,1657.2,
2008-07,1668.9,
2008-10,1752.0,
2009-01,1779.9,
2009-04,1824.2,
2009-07,1846.8,
2009-10,1865.5,
2010-01,1895.8,
2010-04,1975.5,
2010-07,2019.4,
2010-10,2177.0,
2011-01,2152.2,
2011-04,2178.5,
2011-07,2271.7,
2011-10,2265.2,
2012-01,2307.0,
2012-04,2394.6,
2012-07,2392.6,
2012-10,2386.9,
2013-01,2373.3,
2013-04,2346.6,
2013-07,2290.9,
2013-10,2309.0,
2014-01,2317.8,
2014-04,2343.0,
2014-07,2369.1,
