"",BBK01.AU1715,BBK01.AU1715_FLAGS
"","Main refinancing operations / Eurosystem Figures are daily averages for the reserve maintenance period ending in the month indicated. Owing to the changeover to the new operational framework for monetary policity, there is no reserve maintenance period ending in February 2004.",
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-16 15:18:26,
1999-02,104.600,
1999-03,136.400,
1999-04,130.100,
1999-05,121.600,
1999-06,132.000,
1999-07,143.100,
1999-08,150.100,
1999-09,150.400,
1999-10,143.000,
1999-11,140.500,
1999-12,150.400,
2000-01,138.500,
2000-02,130.900,
2000-03,136.100,
2000-04,136.700,
2000-05,142.600,
2000-06,140.900,
2000-07,157.900,
2000-08,163.100,
2000-09,173.100,
2000-10,176.500,
2000-11,183.700,
2000-12,210.400,
2001-01,205.300,
2001-02,188.900,
2001-03,185.200,
2001-04,172.400,
2001-05,144.000,
2001-06,161.700,
2001-07,161.900,
2001-08,164.000,
2001-09,147.100,
2001-10,136.700,
2001-11,132.300,
2001-12,122.500,
2002-01,118.500,
2002-02,127.300,
2002-03,114.600,
2002-04,112.700,
2002-05,110.600,
2002-06,112.600,
2002-07,130.400,
2002-08,139.200,
2002-09,140.900,
2002-10,146.100,
2002-11,147.500,
2002-12,168.100,
2003-01,176.300,
2003-02,168.600,
2003-03,179.500,
2003-04,179.400,
2003-05,177.100,
2003-06,194.700,
2003-07,204.700,
2003-08,213.400,
2003-09,214.000,
2003-10,208.400,
2003-11,205.800,
2003-12,235.500,
2004-01,232.600,
2004-02,.,No value available
2004-03,219.400,
2004-04,217.900,
2004-05,213.200,
2004-06,224.700,
2004-07,245.400,
2004-08,253.600,
2004-09,251.600,
2004-10,256.400,
2004-11,257.900,
2004-12,265.700,
2005-01,272.900,
2005-02,276.600,
2005-03,277.800,
2005-04,278.200,
2005-05,276.500,
2005-06,273.100,
2005-07,297.600,
2005-08,309.500,
2005-09,303.500,
2005-10,288.600,
2005-11,293.400,
2005-12,301.300,
2006-01,316.400,
2006-02,310.000,
2006-03,299.300,
2006-04,290.100,
2006-05,291.300,
2006-06,287.000,
2006-07,316.500,
2006-08,329.700,
2006-09,314.000,
2006-10,308.700,
2006-11,311.900,
2006-12,313.100,
2007-01,322.300,
2007-02,300.500,
2007-03,288.700,
2007-04,281.700,
2007-05,281.600,
2007-06,284.900,
2007-07,295.400,
2007-08,301.700,
2007-09,268.700,
2007-10,194.300,
2007-11,180.200,
2007-12,173.000,
2008-01,255.700,
2008-02,173.800,
2008-03,181.300,
2008-04,181.500,
2008-05,174.400,
2008-06,172.800,
2008-07,185.400,
2008-08,166.300,
2008-09,163.500,
2008-10,174.100,
2008-11,301.600,
2008-12,337.300,
2009-01,219.200,
2009-02,224.900,
2009-03,224.300,
2009-04,230.500,
2009-05,239.700,
2009-06,238.800,
2009-07,221.400,
2009-08,94.100,
2009-09,74.800,
2009-10,79.100,
2009-11,52.300,
2009-12,55.800,
2010-01,60.600,
2010-02,59.700,
2010-03,80.500,
2010-04,77.700,
2010-05,76.700,
2010-06,110.000,
2010-07,167.500,
2010-08,185.400,
2010-09,153.100,
2010-10,164.500,
2010-11,183.000,
2010-12,179.500,
2011-01,197.000,
2011-02,185.400,
2011-03,134.400,
2011-04,97.300,
2011-05,109.200,
2011-06,114.700,
2011-07,146.000,
2011-08,171.700,
2011-09,135.100,
2011-10,193.000,
2011-11,196.100,
2011-12,238.000,
2012-01,169.400,
2012-02,120.600,
2012-03,89.100,
2012-04,56.400,
2012-05,47.000,
2012-06,58.100,
2012-07,160.700,
2012-08,146.000,
2012-09,130.600,
2012-10,117.600,
2012-11,84.400,
2012-12,74.000,
2013-01,78.200,
2013-02,127.500,
2013-03,130.500,
2013-04,123.700,
2013-05,113.000,
2013-06,104.700,
2013-07,108.800,
2013-08,104.500,
2013-09,97.500,
2013-10,96.200,
2013-11,90.800,
2013-12,91.600,
2014-01,129.300,
2014-02,105.400,
2014-03,91.800,
2014-04,105.400,
2014-05,128.100,
2014-06,148.100,
2014-07,111.700,
2014-08,106.600,
2014-09,114.700,
2014-10,98.900,
2014-11,95.200,
2014-12,103.300,
2015-01,119.000,
