"",BBK01.OEAA16M,BBK01.OEAA16M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:17:44,
2002-01,12.343,
2002-04,12.405,
2002-07,12.481,
2002-10,12.635,
2003-01,12.792,
2003-04,12.683,
2003-07,12.651,
2003-10,14.463,
2004-01,12.989,
2004-04,13.735,
2004-07,16.202,
2004-10,13.834,
2005-01,15.420,
2005-04,15.295,
2005-07,15.252,
2005-10,15.095,
2006-01,14.871,
2006-04,14.659,
2006-07,14.602,
2006-10,14.252,
2007-01,14.822,
2007-04,14.279,
2007-07,13.839,
2007-10,13.446,
2008-01,10.141,
2008-04,9.604,
2008-07,8.921,
2008-10,8.347,
2009-01,7.922,
2009-04,7.449,
2009-07,7.021,
2009-10,6.732,
2010-01,6.592,
2010-04,6.695,
2010-07,6.772,
2010-10,6.756,
2011-01,6.607,
2011-04,6.541,
2011-07,6.480,
2011-10,6.453,
2012-01,6.106,
2012-04,5.891,
2012-07,5.700,
2012-10,5.424,
2013-01,5.048,
2013-04,4.745,
2013-07,4.289,
2013-10,3.924,
2014-01,3.613,
2014-04,3.339,
2014-07,3.116,
