"",BBK01.OEYB08V,BBK01.OEYB08V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:43:03,
2002-01,15.471,
2002-04,15.509,
2002-07,15.412,
2002-10,15.309,
2003-01,15.245,
2003-04,14.991,
2003-07,15.098,
2003-10,15.113,
2004-01,15.043,
2004-04,15.226,
2004-07,15.442,
2004-10,15.461,
2005-01,15.337,
2005-04,15.355,
2005-07,15.822,
2005-10,15.732,
2006-01,15.549,
2006-04,15.585,
2006-07,15.239,
2006-10,15.092,
2007-01,14.598,
2007-04,13.981,
2007-07,13.667,
2007-10,13.231,
2008-01,12.501,
2008-04,8.788,
2008-07,8.951,
2008-10,9.108,
2009-01,8.060,
2009-04,7.891,
2009-07,7.930,
2009-10,9.414,
2010-01,9.420,
2010-04,9.490,
2010-07,9.664,
2010-10,9.629,
2011-01,9.517,
2011-04,9.425,
2011-07,9.704,
2011-10,9.582,
2012-01,9.523,
2012-04,9.800,
2012-07,9.611,
2012-10,9.385,
2013-01,9.144,
2013-04,9.098,
2013-07,9.197,
2013-10,8.856,
2014-01,8.752,
2014-04,8.344,
2014-07,8.119,
