"",BBK01.OEAH98K,BBK01.OEAH98K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:26:04,
2002-01,0.683,
2002-04,0.609,
2002-07,0.743,
2002-10,0.695,
2003-01,0.601,
2003-04,0.521,
2003-07,0.504,
2003-10,0.485,
2004-01,0.477,
2004-04,0.490,
2004-07,0.370,
2004-10,0.407,
2005-01,0.378,
2005-04,0.405,
2005-07,0.434,
2005-10,0.369,
2006-01,0.338,
2006-04,0.297,
2006-07,0.293,
2006-10,0.234,
2007-01,0.217,
2007-04,0.217,
2007-07,0.216,
2007-10,0.246,
2008-01,0.256,
2008-04,0.260,
2008-07,0.295,
2008-10,0.283,
2009-01,0.313,
2009-04,0.218,
2009-07,0.093,
2009-10,0.070,
2010-01,0.046,
2010-04,0.032,
2010-07,0.029,
2010-10,0.031,
2011-01,0.029,
2011-04,0.029,
2011-07,0.031,
2011-10,0.032,
2012-01,0.030,
2012-04,0.032,
2012-07,0.030,
2012-10,0.029,
2013-01,0.030,
2013-04,0.030,
2013-07,0.028,
2013-10,0.026,
2014-01,0.026,
2014-04,0.022,
2014-07,0.023,
