"",BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.Z01.BGA.X001.D,BBFN1.M.DE.N.1.A.W1.S1P.F0.S.N000.Z01.BGA.X001.D_FLAGS
"",Short-term claims of enterprises on foreign non-banks arising from financial operations / Total / All countries,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:04:57,
1968-12,0.447,
1969-01,0.393,
1969-02,0.400,
1969-03,0.515,
1969-04,0.533,
1969-05,0.579,
1969-06,0.594,
1969-07,0.684,
1969-08,0.778,
1969-09,0.761,
1969-10,0.729,
1969-11,0.832,
1969-12,0.879,
1970-01,0.816,
1970-02,0.865,
1970-03,0.864,
1970-04,0.950,
1970-05,0.943,
1970-06,0.954,
1970-07,0.911,
1970-08,1.020,
1970-09,1.029,
1970-10,0.977,
1970-11,1.070,
1970-12,1.195,
1971-01,0.864,
1971-02,0.911,
1971-03,0.933,
1971-04,0.918,
1971-05,0.828,
1971-06,1.244,
1971-07,1.237,
1971-08,1.268,
1971-09,1.246,
1971-10,1.212,
1971-11,1.174,
1971-12,1.304,
1972-01,1.222,
1972-02,1.332,
1972-03,1.342,
1972-04,1.234,
1972-05,1.195,
1972-06,1.202,
1972-07,1.032,
1972-08,1.010,
1972-09,0.991,
1972-10,0.984,
1972-11,1.003,
1972-12,1.111,
1973-01,1.024,
1973-02,0.981,
1973-03,0.959,
1973-04,1.000,
1973-05,0.954,
1973-06,0.949,
1973-07,0.929,
1973-08,0.897,
1973-09,0.932,
1973-10,0.901,
1973-11,0.993,
1973-12,1.025,
1974-01,1.061,
1974-02,1.154,
1974-03,1.169,
1974-04,1.288,
1974-05,1.329,
1974-06,1.399,
1974-07,1.504,
1974-08,1.506,
1974-09,1.353,
1974-10,1.353,
1974-11,1.478,
1974-12,1.509,
1975-01,1.569,
1975-02,1.597,
1975-03,1.727,
1975-04,1.695,
1975-05,1.835,
1975-06,1.861,
1975-07,1.847,
1975-08,1.835,
1975-09,2.017,
1975-10,2.027,
1975-11,2.110,
1975-12,2.111,
1976-01,2.143,
1976-02,2.195,
1976-03,2.247,
1976-04,2.344,
1976-05,2.518,
1976-06,2.665,
1976-07,2.606,
1976-08,2.780,
1976-09,2.739,
1976-10,2.784,
1976-11,2.680,
1976-12,2.592,
1977-01,2.513,
1977-02,2.490,
1977-03,2.464,
1977-04,2.513,
1977-05,2.444,
1977-06,2.387,
1977-07,2.410,
1977-08,2.624,
1977-09,2.653,
1977-10,2.594,
1977-11,2.715,
1977-12,2.658,
1978-01,2.738,
1978-02,2.670,
1978-03,2.692,
1978-04,2.698,
1978-05,2.931,
1978-06,2.714,
1978-07,2.630,
1978-08,2.607,
1978-09,2.761,
1978-10,2.684,
1978-11,2.879,
1978-12,3.125,
1979-01,3.229,
1979-02,3.199,
1979-03,3.256,
1979-04,3.539,
1979-05,3.638,
1979-06,3.703,
1979-07,3.641,
1979-08,3.553,
1979-09,3.663,
1979-10,3.872,
1979-11,3.719,
1979-12,4.040,
1980-01,4.222,
1980-02,4.219,
1980-03,4.450,
1980-04,4.607,
1980-05,4.701,
1980-06,4.696,
1980-07,4.600,
1980-08,4.634,
1980-09,4.608,
1980-10,4.717,
1980-11,4.243,
1980-12,4.353,
1981-01,4.501,
1981-02,4.869,
