"",BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.P.F3.L._T.M.N,BBFI1.Q.N.DE.W1.S13.S1.LE.L.FA.P.F3.L._T.M.N_FLAGS
"",IIP - Portfolio investment - Debt securities - Long-term original maturity (over 1 year) - Liabilities - Positions - resident issuer: General government - all countries,
unit,EUR (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:54:36,
1999-10,379965,
2000-01,.,No value available
2000-04,.,No value available
2000-07,.,No value available
2000-10,412144,
2001-01,.,No value available
2001-04,.,No value available
2001-07,.,No value available
2001-10,418091,
2002-01,.,No value available
2002-04,.,No value available
2002-07,.,No value available
2002-10,484726,
2003-01,.,No value available
2003-04,.,No value available
2003-07,.,No value available
2003-10,491504,
2004-01,524768,
2004-04,508418,
2004-07,538702,
2004-10,559939,
2005-01,573806,
2005-04,626561,
2005-07,640872,
2005-10,643738,
2006-01,637083,
2006-04,622112,
2006-07,649520,
2006-10,657697,
2007-01,643531,
2007-04,649243,
2007-07,659919,
2007-10,691174,
2008-01,708835,
2008-04,699131,
2008-07,739893,
2008-10,794793,
2009-01,799688,
2009-04,806324,
2009-07,813590,
2009-10,807139,
2010-01,843090,
2010-04,904381,
2010-07,944776,
2010-10,907010,
2011-01,894717,
2011-04,942840,
2011-07,1034934,
2011-10,1058596,
2012-01,1084200,
2012-04,1121857,
2012-07,1140448,
2012-10,1160742,
2013-01,1162285,
2013-04,1121700,
2013-07,1109317,
2013-10,1099166,
2014-01,1153523,
2014-04,1190616,
2014-07,1205034,
