"",BBK01.OXA8Z1,BBK01.OXA8Z1_FLAGS
"",Transferable deposits of enterprises and households domiciled in other euro-area member states Overnight deposits - All categories of banks,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-05 10:15:17,
2010-06,10.371,
2010-07,10.644,
2010-08,9.963,
2010-09,9.917,
2010-10,10.491,
2010-11,13.240,
2010-12,10.757,
2011-01,11.100,
2011-02,10.934,
2011-03,11.262,
2011-04,11.917,
2011-05,12.379,
2011-06,12.548,
2011-07,12.788,
2011-08,11.226,
2011-09,12.682,Provisional value
2011-10,12.431,
2011-11,12.672,
2011-12,13.167,
2012-01,13.029,
2012-02,15.934,
2012-03,17.343,
2012-04,16.257,
2012-05,17.033,
2012-06,17.503,
2012-07,18.781,
2012-08,18.965,
2012-09,20.844,
2012-10,19.846,
2012-11,20.308,
2012-12,19.833,
2013-01,18.658,
2013-02,19.853,
2013-03,19.989,
2013-04,20.043,
2013-05,19.509,
2013-06,19.476,
2013-07,19.611,
2013-08,19.293,
2013-09,21.003,
2013-10,19.354,
2013-11,20.999,
2013-12,20.935,
2014-01,20.272,
2014-02,20.804,
2014-03,20.710,
2014-04,20.151,
2014-05,21.534,
2014-06,21.174,
2014-07,20.792,
2014-08,21.931,
2014-09,22.698,
2014-10,23.588,
2014-11,21.909,
2014-12,23.752,Provisional value
