"",BBK01.OEHI02O,BBK01.OEHI02O_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:34,
2002-01,8.804,
2002-04,9.028,
2002-07,9.092,
2002-10,9.816,
2003-01,9.716,
2003-04,9.965,
2003-07,10.098,
2003-10,10.858,
2004-01,10.698,
2004-04,10.814,
2004-07,11.084,
2004-10,11.486,
2005-01,11.107,
2005-04,11.425,
2005-07,11.846,
2005-10,12.192,
2006-01,11.872,
2006-04,12.465,
2006-07,12.045,
2006-10,12.713,
2007-01,12.294,
2007-04,13.165,
2007-07,13.079,
2007-10,12.930,
2008-01,13.035,
2008-04,13.197,
2008-07,13.087,
2008-10,13.145,
2009-01,14.206,
2009-04,15.346,
2009-07,16.452,
2009-10,16.880,
2010-01,17.589,
2010-04,18.235,
2010-07,18.511,
2010-10,18.300,
2011-01,18.405,
2011-04,18.510,
2011-07,18.737,
2011-10,18.554,
2012-01,19.126,
2012-04,19.746,
2012-07,20.672,
2012-10,20.657,
2013-01,20.660,
2013-04,21.425,
2013-07,21.649,
2013-10,22.705,
2014-01,22.383,
2014-04,22.804,
2014-07,23.432,
