"",BBK01.OEYK04V,BBK01.OEYK04V_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:12:11,
2002-01,0.004,
2002-04,0.011,
2002-07,0.007,
2002-10,0.007,
2003-01,0.007,
2003-04,0.002,
2003-07,-,Nothing exists
2003-10,-,Nothing exists
2004-01,-,Nothing exists
2004-04,-,Nothing exists
2004-07,-,Nothing exists
2004-10,-,Nothing exists
2005-01,-,Nothing exists
2005-04,-,Nothing exists
2005-07,0.048,
2005-10,0.049,
2006-01,0.049,
2006-04,0.051,
2006-07,0.056,
2006-10,0.059,
2007-01,0.067,
2007-04,0.071,
2007-07,0.078,
2007-10,0.092,
2008-01,0.086,
2008-04,0.099,
2008-07,0.100,
2008-10,0.097,
2009-01,0.060,
2009-04,0.045,
2009-07,0.015,
2009-10,0.010,
2010-01,0.007,
2010-04,0.007,
2010-07,0.007,
2010-10,0.006,
2011-01,0.006,
2011-04,0.022,
2011-07,0.024,
2011-10,0.023,
2012-01,0.018,
2012-04,0.013,
2012-07,0.004,
2012-10,0.001,
2013-01,0.001,
2013-04,0.001,
2013-07,-,Nothing exists
2013-10,-,Nothing exists
2014-01,0.001,
2014-04,0.001,
2014-07,0.001,
