"",BBSF2.M.1.S.I0002.GEM01.I.F.NAV.DE.00000.000000.Z01.00,BBSF2.M.1.S.I0002.GEM01.I.F.NAV.DE.00000.000000.Z01.00_FLAGS
"",Special investors funds / Mixed securities funds / Net asset value / Pension fund institutions / Distribution and cumulative funds,
unit,EURO (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:50:31,
2004-01,137,
2004-02,1723,
2004-03,2911,
2004-04,6416,
2004-05,6305,
2004-06,8166,
2004-07,9442,
2004-08,9570,
2004-09,9747,
2004-10,10164,
2004-11,10219,
2004-12,8759,
2005-01,9157,
2005-02,9299,
2005-03,9643,
2005-04,9724,
2005-05,10441,
2005-06,10749,
2005-07,11253,
2005-08,12638,
2005-09,13794,
2005-10,41367,
2005-11,42231,
2005-12,42856,
2006-01,40832,
2006-02,40527,
2006-03,41010,
2006-04,40983,
2006-05,39911,
2006-06,40323,
2006-07,39758,
2006-08,40496,
2006-09,41181,
2006-10,41948,
2006-11,42229,
2006-12,43330,
2007-01,43563,
2007-02,45231,
2007-03,45832,
2007-04,46759,
2007-05,47439,
2007-06,47364,
2007-07,46819,
2007-08,46499,
2007-09,47161,
2007-10,47732,
2007-11,46592,
2007-12,45206,
2008-01,43316,
2008-02,43701,
2008-03,42715,
2008-04,43137,
2008-05,43443,
2008-06,41699,
2008-07,41793,
2008-08,42278,
2008-09,40405,
2008-10,39028,
2008-11,38158,
2008-12,38389,
2009-01,37903,
2009-02,36547,
2009-03,36570,
2009-04,37468,
2009-05,37069,
2009-06,37169,
2009-07,38155,
2009-08,38638,
2009-09,37671,
2009-10,39071,
2009-11,40533,
2009-12,40915,
2010-01,41130,
2010-02,41246,
2010-03,42643,
2010-04,42528,
2010-05,42783,
2010-06,42859,
2010-07,43734,
2010-08,44161,
2010-09,44326,
2010-10,43940,
2010-11,44000,
2010-12,45231,
2011-01,45454,
2011-02,49815,
2011-03,49400,
2011-04,49433,
2011-05,49383,
2011-06,49131,
2011-07,49275,
2011-08,47869,
2011-09,46591,
2011-10,46234,
2011-11,42581,
2011-12,42266,
2012-01,44783,
2012-02,45415,
2012-03,45844,
2012-04,45886,
2012-05,45962,
2012-06,46392,
2012-07,48070,
2012-08,48847,
2012-09,49153,
2012-10,49221,
2012-11,50630,
2012-12,52696,
2013-01,52430,
2013-02,53083,
2013-03,54271,
2013-04,56266,
2013-05,56810,
2013-06,56651,
2013-07,58954,
2013-08,58948,
2013-09,63216,
2013-10,64335,
2013-11,64915,
2013-12,65086,
2014-01,65286,
2014-02,64400,
2014-03,63754,
2014-04,63718,
2014-05,65350,
2014-06,65458,
2014-07,66238,
2014-08,69095,
2014-09,69190,
2014-10,68769,
2014-11,70129,
