"",BBK01.OEAH63R,BBK01.OEAH63R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:29:53,
2002-01,0.011,
2002-04,0.009,
2002-07,0.009,
2002-10,0.013,
2003-01,0.012,
2003-04,0.009,
2003-07,0.011,
2003-10,0.014,
2004-01,0.013,
2004-04,0.013,
2004-07,0.015,
2004-10,0.013,
2005-01,0.063,
2005-04,0.060,
2005-07,0.059,
2005-10,0.057,
2006-01,0.054,
2006-04,0.056,
2006-07,0.057,
2006-10,0.057,
2007-01,0.056,
2007-04,0.055,
2007-07,0.059,
2007-10,0.060,
2008-01,0.056,
2008-04,0.056,
2008-07,0.054,
2008-10,0.058,
2009-01,0.062,
2009-04,0.066,
2009-07,0.075,
2009-10,0.082,
2010-01,0.090,
2010-04,0.092,
2010-07,0.092,
2010-10,0.094,
2011-01,0.099,
2011-04,0.101,
2011-07,0.105,
2011-10,0.105,
2012-01,0.102,
2012-04,0.096,
2012-07,0.094,
2012-10,0.087,
2013-01,0.087,
2013-04,0.086,
2013-07,0.087,
2013-10,0.089,
2014-01,0.081,
2014-04,0.079,
2014-07,0.077,
