"",BBFB1.Q.N.DE.A2.S1.S1.T.L.FA.O.F._Z._T._X.N,BBFB1.Q.N.DE.A2.S1.S1.T.L.FA.O.F._Z._T._X.N_FLAGS
"",Financial account / Net foreign financial investment in the reporting country / Other investment / North American countries,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2015-02-12 08:45:26,
1991-01,-249.487,
1991-04,3.999,
1991-07,-2254.654,
1991-10,489.392,
1992-01,100.744,
1992-04,-2439.910,
1992-07,241.651,
1992-10,-266.971,
1993-01,1091.686,
1993-04,1445.588,
1993-07,136.111,
1993-10,841.862,
1994-01,988.174,
1994-04,42.735,
1994-07,-1285.593,
1994-10,2361.361,
1995-01,2431.793,
1995-04,1869.165,
1995-07,2200.069,
1995-10,4164.538,
1996-01,-1408.160,
1996-04,2962.975,
1996-07,1363.225,
1996-10,785.855,
1997-01,6013.472,
1997-04,3582.269,
1997-07,1908.815,
1997-10,4919.103,
1998-01,3150.687,
1998-04,1811.713,
1998-07,4853.480,
1998-10,3438.060,
1999-01,3681.559,
1999-04,7347.430,
1999-07,9678.071,
1999-10,13535.630,
2000-01,9861.675,
2000-04,-2382.224,
2000-07,5277.633,
2000-10,12284.118,
2001-01,27525.132,
2001-04,4270.758,
2001-07,10804.736,
2001-10,-23203.205,
2002-01,8675.121,
2002-04,1845.286,
2002-07,-12373.297,
2002-10,-18081.319,
2003-01,-1356.234,
2003-04,-735.904,
2003-07,-378.356,
2003-10,-5386.186,
2004-01,5005.655,
2004-04,-4832.018,
2004-07,-3218.982,
2004-10,-10544.305,
2005-01,4965.792,
2005-04,-4016.258,
2005-07,-257.644,
2005-10,-5452.734,
2006-01,-5017.960,
2006-04,-3637.108,
2006-07,4256.785,
2006-10,-8378.964,
2007-01,-4574.388,
2007-04,6277.162,
2007-07,15008.101,
2007-10,-10363.271,
2008-01,12200.814,
2008-04,9709.328,
2008-07,-11286.616,
2008-10,6681.145,
2009-01,22419.966,
2009-04,3477.643,
2009-07,-11329.098,
2009-10,-17983.775,
2010-01,-5605.704,
2010-04,16622.556,
2010-07,-555.705,
2010-10,3250.986,
2011-01,8639.118,
2011-04,782.894,
2011-07,-1700.665,
2011-10,-550.833,
2012-01,4648.819,
2012-04,194.934,
2012-07,11614.445,
2012-10,-10818.713,
2013-01,-611.385,
2013-04,-3370.183,
2013-07,-5914.285,
2013-10,-6983.162,
2014-01,-514.464,Provisional value
2014-04,-6176.093,Provisional value
2014-07,-785.605,Provisional value
2014-10,1912.359,Provisional value
