"",BBK01.OECI04P,BBK01.OECI04P_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:53:42,
2002-01,0.247,
2002-04,0.262,
2002-07,0.231,
2002-10,0.242,
2003-01,0.234,
2003-04,0.235,
2003-07,0.281,
2003-10,0.523,
2004-01,0.468,
2004-04,0.496,
2004-07,0.264,
2004-10,0.479,
2005-01,0.356,
2005-04,0.242,
2005-07,0.224,
2005-10,0.263,
2006-01,0.216,
2006-04,0.175,
2006-07,0.193,
2006-10,0.205,
2007-01,0.225,
2007-04,0.269,
2007-07,0.374,
2007-10,0.525,
2008-01,0.474,
2008-04,0.458,
2008-07,0.499,
2008-10,0.519,
2009-01,0.409,
2009-04,0.385,
2009-07,0.322,
2009-10,0.295,
2010-01,0.270,
2010-04,0.288,
2010-07,0.192,
2010-10,0.250,
2011-01,0.168,
2011-04,0.217,
2011-07,0.220,
2011-10,0.227,
2012-01,0.192,
2012-04,0.183,
2012-07,0.305,
2012-10,0.289,
2013-01,0.214,
2013-04,0.123,
2013-07,0.112,
2013-10,0.099,
2014-01,0.092,
2014-04,0.188,
2014-07,0.140,
