"",BBK01.OECL07H,BBK01.OECL07H_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:15:58,
2002-01,8.251,
2002-04,7.343,
2002-07,7.355,
2002-10,7.842,
2003-01,8.829,
2003-04,9.422,
2003-07,10.825,
2003-10,11.360,
2004-01,11.879,
2004-04,13.113,
2004-07,13.564,
2004-10,14.033,
2005-01,20.162,
2005-04,20.383,
2005-07,20.160,
2005-10,19.937,
2006-01,19.399,
2006-04,18.803,
2006-07,17.800,
2006-10,17.324,
2007-01,17.188,
2007-04,16.888,
2007-07,16.357,
2007-10,16.422,
2008-01,16.188,
2008-04,16.309,
2008-07,15.818,
2008-10,16.143,
2009-01,17.897,
2009-04,18.764,
2009-07,19.174,
2009-10,19.584,
2010-01,19.889,
2010-04,19.813,
2010-07,20.000,
2010-10,20.353,
2011-01,20.206,
2011-04,19.658,
2011-07,19.284,
2011-10,19.192,
2012-01,20.007,
2012-04,19.537,
2012-07,19.597,
2012-10,20.139,
2013-01,20.015,
2013-04,19.733,
2013-07,19.229,
2013-10,19.071,
2014-01,18.796,
2014-04,18.680,
2014-07,18.860,
