"",BBK01.OEBL04I,BBK01.OEBL04I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:20,
2002-01,5.222,
2002-04,4.816,
2002-07,4.089,
2002-10,4.179,
2003-01,4.074,
2003-04,3.601,
2003-07,3.066,
2003-10,2.677,
2004-01,2.113,
2004-04,1.780,
2004-07,1.273,
2004-10,1.377,
2005-01,1.321,
2005-04,1.244,
2005-07,1.248,
2005-10,1.489,
2006-01,1.307,
2006-04,1.322,
2006-07,1.540,
2006-10,2.226,
2007-01,2.262,
2007-04,2.325,
2007-07,2.619,
2007-10,3.011,
2008-01,3.368,
2008-04,3.759,
2008-07,4.246,
2008-10,4.273,
2009-01,3.277,
2009-04,2.757,
2009-07,1.911,
2009-10,1.246,
2010-01,1.033,
2010-04,1.033,
2010-07,0.827,
2010-10,0.760,
2011-01,1.070,
2011-04,1.515,
2011-07,1.902,
2011-10,2.301,
2012-01,2.633,
2012-04,2.458,
2012-07,2.386,
2012-10,1.978,
2013-01,1.447,
2013-04,1.175,
2013-07,0.896,
2013-10,0.815,
2014-01,0.707,
2014-04,0.653,
2014-07,0.629,
