"",BBK01.OEHI02K,BBK01.OEHI02K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 10:54:33,
2002-01,3.915,
2002-04,4.058,
2002-07,4.097,
2002-10,4.352,
2003-01,4.633,
2003-04,4.581,
2003-07,4.706,
2003-10,4.456,
2004-01,4.632,
2004-04,4.815,
2004-07,4.809,
2004-10,4.760,
2005-01,4.800,
2005-04,5.338,
2005-07,5.359,
2005-10,5.776,
2006-01,5.834,
2006-04,5.709,
2006-07,5.472,
2006-10,6.118,
2007-01,6.144,
2007-04,7.262,
2007-07,7.290,
2007-10,7.440,
2008-01,6.796,
2008-04,6.947,
2008-07,6.789,
2008-10,7.791,
2009-01,9.752,
2009-04,10.428,
2009-07,11.017,
2009-10,11.741,
2010-01,12.002,
2010-04,12.292,
2010-07,12.380,
2010-10,12.730,
2011-01,12.707,
2011-04,12.240,
2011-07,12.921,
2011-10,12.774,
2012-01,13.757,
2012-04,13.978,
2012-07,15.053,
2012-10,15.112,
2013-01,15.108,
2013-04,15.275,
2013-07,15.418,
2013-10,15.376,
2014-01,15.462,
2014-04,15.757,
2014-07,16.084,
