"",BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.P.F51._Z._T.M.N,BBFB1.Q.N.DE.W1.S12T.S1.T.L.FA.P.F51._Z._T.M.N_FLAGS
"",Liabilities (Net Incurrence of) / Financial account / Equity / Rest of the World / Monetary financial institutions other than central bank / Portfolio investment,
unit,DM/Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-30 15:58:46,
1991-01,-1292.852,
1991-04,1398.455,
1991-07,2148.775,
1991-10,-572.526,
1992-01,-982.182,
1992-04,707.287,
1992-07,-315.391,
1992-10,-1241.375,
1993-01,-2315.111,
1993-04,1984.020,
1993-07,3796.654,
1993-10,1024.545,
1994-01,-2025.510,
1994-04,2903.412,
1994-07,1440.618,
1994-10,-1391.877,
1995-01,-5011.559,
1995-04,4932.834,
1995-07,1780.494,
1995-10,-2095.398,
1996-01,501.151,
1996-04,7604.527,
1996-07,210.358,
1996-10,1669.102,
1997-01,-509.624,
1997-04,838.112,
1997-07,6660.480,
1997-10,864.570,
1998-01,3869.256,
1998-04,3097.849,
1998-07,2346.863,
1998-10,-4428.018,
1999-01,-1194.553,
1999-04,2060.531,
1999-07,2541.854,
1999-10,1511.587,
2000-01,1116.651,
2000-04,7981.296,
2000-07,5055.159,
2000-10,6824.012,
2001-01,-2300.502,
2001-04,8401.434,
2001-07,-132.362,
2001-10,-210.139,
2002-01,-2220.717,
2002-04,3532.501,
2002-07,836.358,
2002-10,-712.401,
2003-01,-465.645,
2003-04,-1452.738,
2003-07,1433.000,
2003-10,2356.203,
2004-01,-285.412,
2004-04,-4006.683,
2004-07,819.637,
2004-10,-195.900,
2005-01,767.531,
2005-04,-795.929,
2005-07,-305.712,
2005-10,-7547.789,
2006-01,876.693,
2006-04,-1661.573,
2006-07,-1380.592,
2006-10,-60.898,
2007-01,1492.703,
2007-04,1941.410,
2007-07,676.817,
2007-10,-1449.515,
2008-01,-1546.983,
2008-04,-6895.882,
2008-07,3181.057,
2008-10,-2093.004,
2009-01,-764.026,
2009-04,1740.988,
2009-07,1248.471,
2009-10,431.005,
2010-01,804.858,
2010-04,-1091.243,
2010-07,-687.080,
2010-10,3216.749,
2011-01,-77.762,
2011-04,4272.203,
2011-07,-1733.069,
2011-10,69.733,
2012-01,858.806,
2012-04,-746.993,
2012-07,352.563,
2012-10,657.889,
2013-01,-283.749,
2013-04,2870.686,
2013-07,769.906,
2013-10,919.865,
2014-01,-273.203,
2014-04,2995.686,
2014-07,1.916,
