"",BBK01.OEXB04K,BBK01.OEXB04K_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:29:27,
2002-01,8.353,
2002-04,8.240,
2002-07,8.319,
2002-10,8.431,
2003-01,8.583,
2003-04,8.609,
2003-07,9.216,
2003-10,8.665,
2004-01,9.456,
2004-04,9.086,
2004-07,9.180,
2004-10,4.787,
2005-01,4.302,
2005-04,4.299,
2005-07,4.570,
2005-10,4.713,
2006-01,4.810,
2006-04,4.890,
2006-07,4.947,
2006-10,5.068,
2007-01,5.035,
2007-04,5.066,
2007-07,5.061,
2007-10,4.976,
2008-01,4.867,
2008-04,5.321,
2008-07,5.394,
2008-10,5.732,
2009-01,5.795,
2009-04,6.106,
2009-07,6.357,
2009-10,6.579,
2010-01,6.571,
2010-04,6.745,
2010-07,6.556,
2010-10,7.032,
2011-01,6.916,
2011-04,6.967,
2011-07,7.089,
2011-10,7.221,
2012-01,7.187,
2012-04,7.228,
2012-07,7.164,
2012-10,7.472,
2013-01,7.638,
2013-04,7.698,
2013-07,7.781,
2013-10,7.796,
2014-01,7.689,
2014-04,8.045,
2014-07,8.482,
