"",BBFN1.M.DE.N.1.L.TR.S1P.FH.T.BN00.Z01.BGA.X001.D,BBFN1.M.DE.N.1.L.TR.S1P.FH.T.BN00.Z01.BGA.X001.D_FLAGS
"",Liabilities of enterprises vis-à-vis non-residents / Total / Turkey,
unit,DM/EURO (hypothetically euro-based),
unit multiplier,billion,
last update,2015-02-11 07:18:42,
1994-12,0.637,
1995-01,0.648,
1995-02,0.664,
1995-03,0.711,
1995-04,0.643,
1995-05,0.692,
1995-06,0.696,
1995-07,0.703,
1995-08,0.678,
1995-09,0.717,
1995-10,0.729,
1995-11,0.730,
1995-12,0.728,
1996-01,0.729,
1996-02,0.787,
1996-03,0.815,
1996-04,0.862,
1996-05,0.873,
1996-06,0.866,
1996-07,0.894,
1996-08,0.923,
1996-09,0.914,
1996-10,0.942,
1996-11,0.971,
1996-12,0.998,
1997-01,0.994,
1997-02,1.037,
1997-03,1.082,
1997-04,1.108,
1997-05,1.187,
1997-06,1.147,
1997-07,0.942,
1997-08,0.969,
1997-09,1.039,
1997-10,1.021,
1997-11,1.075,
1997-12,1.048,
1998-01,1.050,
1998-02,1.079,
1998-03,1.136,
1998-04,1.085,
1998-05,1.120,
1998-06,1.071,
1998-07,1.087,
1998-08,1.096,
1998-09,1.075,
1998-10,1.117,
1998-11,1.125,
1998-12,0.981,
1999-01,0.983,
1999-02,1.150,
1999-03,1.187,
1999-04,1.188,
1999-05,1.193,
1999-06,1.062,
1999-07,1.095,
1999-08,1.145,
1999-09,1.080,
1999-10,1.107,
1999-11,1.103,
1999-12,1.074,
2000-01,1.058,
2000-02,1.122,
2000-03,1.164,
2000-04,1.139,
2000-05,1.236,
2000-06,1.235,
2000-07,1.389,
2000-08,1.535,
2000-09,1.519,
2000-10,1.518,
2000-11,1.546,
2000-12,1.579,
2001-01,1.510,
2001-02,1.518,
2001-03,1.642,
2001-04,1.604,
2001-05,1.719,
2001-06,1.747,
2001-07,1.550,
2001-08,1.749,
2001-09,1.853,
2001-10,1.867,
2001-11,1.873,
2001-12,2.019,
2002-01,1.903,
2002-02,1.908,
2002-03,1.849,
2002-04,1.591,
2002-05,1.870,
2002-06,1.832,
2002-07,1.811,
2002-08,1.839,
2002-09,1.895,
2002-10,2.041,
2002-11,1.998,
2002-12,1.773,
2003-01,1.706,
2003-02,1.704,
2003-03,1.720,
2003-04,1.731,
2003-05,1.758,
2003-06,1.770,
2003-07,1.806,
2003-08,1.865,
2003-09,1.623,
2003-10,1.596,
2003-11,1.603,
2003-12,1.291,
2004-01,1.246,
2004-02,1.250,
2004-03,1.240,
2004-04,1.180,
2004-05,1.267,
2004-06,1.327,
2004-07,1.385,
2004-08,1.704,
2004-09,1.695,
2004-10,1.738,
2004-11,1.571,
2004-12,1.610,
2005-01,1.578,
2005-02,1.491,
2005-03,1.659,
2005-04,1.613,
2005-05,1.604,
2005-06,1.606,
2005-07,1.601,
2005-08,1.604,
2005-09,1.739,
2005-10,1.715,
2005-11,1.714,
2005-12,1.598,
2006-01,1.487,
2006-02,1.527,
2006-03,1.627,
2006-04,1.596,
2006-05,1.910,
2006-06,1.888,
2006-07,1.882,
2006-08,1.890,
2006-09,1.953,
2006-10,1.941,
2006-11,1.642,
2006-12,1.685,
2007-01,1.614,
2007-02,1.566,
2007-03,1.586,
2007-04,1.652,
2007-05,1.667,
2007-06,1.781,
2007-07,1.748,
2007-08,1.711,
2007-09,1.695,
2007-10,1.693,
2007-11,1.722,
2007-12,1.701,
2008-01,1.452,
2008-02,1.530,
2008-03,1.598,
2008-04,1.546,
2008-05,1.557,
2008-06,1.625,
2008-07,1.579,
2008-08,1.583,
2008-09,1.608,
2008-10,1.485,
2008-11,1.455,
2008-12,1.410,
2009-01,1.368,
2009-02,1.418,
2009-03,1.459,
2009-04,1.436,
2009-05,1.464,
2009-06,1.532,
2009-07,1.562,
2009-08,1.553,
2009-09,1.513,
2009-10,1.581,
2009-11,1.573,
2009-12,1.313,
2010-01,1.244,
2010-02,1.321,
2010-03,1.370,
2010-04,1.411,
2010-05,1.470,
2010-06,1.506,
2010-07,1.505,
2010-08,1.493,
2010-09,1.501,
2010-10,1.568,
2010-11,1.426,
2010-12,1.446,
2011-01,1.363,
2011-02,1.398,
2011-03,1.387,
2011-04,1.396,
2011-05,1.378,
2011-06,1.413,
2011-07,1.427,
2011-08,1.475,
2011-09,1.509,
2011-10,1.993,
2011-11,1.938,
2011-12,2.001,
2012-01,1.954,
2012-02,2.009,
2012-03,2.095,
2012-04,1.998,
2012-05,2.011,
2012-06,2.145,
2012-07,2.120,
2012-08,2.058,
2012-09,2.164,
2012-10,2.197,
2012-11,2.245,
2012-12,2.326,
2013-01,2.246,
2013-02,2.297,
2013-03,2.373,
2013-04,2.500,
2013-05,2.533,
2013-06,2.608,
2013-07,2.490,
2013-08,2.453,
2013-09,2.489,
2013-10,2.542,
2013-11,2.680,
2013-12,2.795,
2014-01,2.789,
2014-02,2.806,
2014-03,2.651,
2014-04,2.850,
2014-05,2.744,
2014-06,2.766,
2014-07,2.753,
2014-08,2.706,
2014-09,2.779,
2014-10,2.795,
2014-11,2.790,
2014-12,2.740,
