"",BBK01.OEAH52G,BBK01.OEAH52G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:23:25,
2002-01,0.359,
2002-04,0.358,
2002-07,0.349,
2002-10,0.338,
2003-01,0.323,
2003-04,0.309,
2003-07,0.294,
2003-10,0.287,
2004-01,0.287,
2004-04,0.279,
2004-07,0.274,
2004-10,0.272,
2005-01,0.264,
2005-04,0.256,
2005-07,0.246,
2005-10,0.239,
2006-01,0.236,
2006-04,0.227,
2006-07,0.217,
2006-10,0.199,
2007-01,0.184,
2007-04,0.168,
2007-07,0.167,
2007-10,0.159,
2008-01,0.149,
2008-04,0.140,
2008-07,0.143,
2008-10,0.148,
2009-01,0.169,
2009-04,0.174,
2009-07,0.197,
2009-10,0.244,
2010-01,0.268,
2010-04,0.282,
2010-07,0.283,
2010-10,0.303,
2011-01,0.315,
2011-04,0.338,
2011-07,0.346,
2011-10,0.349,
2012-01,0.325,
2012-04,0.311,
2012-07,0.300,
2012-10,0.276,
2013-01,0.259,
2013-04,0.238,
2013-07,0.228,
2013-10,0.220,
2014-01,0.205,
2014-04,0.174,
2014-07,0.164,
