"",BBK01.OECO03I,BBK01.OECO03I_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 08:13:04,
2002-01,0.369,
2002-04,0.689,
2002-07,0.169,
2002-10,0.170,
2003-01,0.223,
2003-04,0.225,
2003-07,0.184,
2003-10,0.191,
2004-01,0.288,
2004-04,0.189,
2004-07,0.215,
2004-10,0.172,
2005-01,0.566,
2005-04,0.482,
2005-07,0.579,
2005-10,0.430,
2006-01,0.574,
2006-04,0.540,
2006-07,0.480,
2006-10,0.519,
2007-01,0.659,
2007-04,0.494,
2007-07,0.498,
2007-10,0.640,
2008-01,0.575,
2008-04,0.534,
2008-07,0.487,
2008-10,0.507,
2009-01,0.559,
2009-04,0.479,
2009-07,0.540,
2009-10,0.546,
2010-01,0.678,
2010-04,0.541,
2010-07,0.364,
2010-10,0.445,
2011-01,0.554,
2011-04,0.565,
2011-07,0.508,
2011-10,0.423,
2012-01,0.535,
2012-04,0.443,
2012-07,0.469,
2012-10,0.423,
2013-01,0.677,
2013-04,0.455,
2013-07,0.454,
2013-10,0.354,
2014-01,0.277,
2014-04,0.288,
2014-07,0.314,
