"",BBDE1.M.DE.W.AEB1.A2P320000.F.V.I10.A,BBDE1.M.DE.W.AEB1.A2P320000.F.V.I10.A_FLAGS
"",Orders received from the domestic market / At current prices / Germany / Capital goods / Calendar adjusted only,
unit,2010=100 (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-05 08:17:09,
1991-01,91.6,
1991-02,85.4,
1991-03,100.0,
1991-04,84.5,
1991-05,84.7,
1991-06,88.3,
1991-07,83.8,
1991-08,83.0,
1991-09,87.6,
1991-10,87.4,
1991-11,91.0,
1991-12,85.6,
1992-01,88.8,
1992-02,90.5,
1992-03,98.8,
1992-04,87.4,
1992-05,83.7,
1992-06,83.1,
1992-07,80.1,
1992-08,72.5,
1992-09,87.9,
1992-10,78.2,
1992-11,75.9,
1992-12,80.1,
1993-01,75.0,
1993-02,70.7,
1993-03,75.6,
1993-04,67.6,
1993-05,71.5,
1993-06,71.7,
1993-07,73.6,
1993-08,65.3,
1993-09,80.7,
1993-10,75.7,
1993-11,73.5,
1993-12,75.6,
1994-01,68.5,
1994-02,73.3,
1994-03,83.5,
1994-04,75.1,
1994-05,73.3,
1994-06,77.6,
1994-07,79.2,
1994-08,69.0,
1994-09,80.7,
1994-10,80.2,
1994-11,81.2,
1994-12,80.7,
1995-01,75.8,
1995-02,77.4,
1995-03,88.1,
1995-04,79.1,
1995-05,84.8,
1995-06,79.6,
1995-07,86.4,
1995-08,71.8,
1995-09,86.2,
1995-10,78.8,
1995-11,87.3,
1995-12,79.9,
1996-01,77.9,
1996-02,75.5,
1996-03,89.9,
1996-04,80.4,
1996-05,77.0,
1996-06,89.9,
1996-07,81.8,
1996-08,73.6,
1996-09,83.7,
1996-10,82.0,
1996-11,80.9,
1996-12,78.1,
1997-01,77.2,
1997-02,75.9,
1997-03,91.1,
1997-04,81.8,
1997-05,81.4,
1997-06,83.6,
1997-07,84.0,
1997-08,74.4,
1997-09,86.5,
1997-10,84.1,
1997-11,85.7,
1997-12,81.8,
1998-01,87.8,
1998-02,85.9,
1998-03,99.5,
1998-04,88.0,
1998-05,87.0,
1998-06,90.8,
1998-07,93.7,
1998-08,79.6,
1998-09,95.0,
1998-10,87.2,
1998-11,89.3,
1998-12,81.9,
1999-01,87.1,
1999-02,83.5,
1999-03,93.9,
1999-04,85.4,
1999-05,85.7,
1999-06,93.4,
1999-07,91.1,
1999-08,84.9,
1999-09,93.5,
1999-10,94.3,
1999-11,93.5,
