"",BBK01.OEAC22G,BBK01.OEAC22G_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:52:00,
2002-01,0.880,
2002-04,1.070,
2002-07,0.975,
2002-10,0.875,
2003-01,0.756,
2003-04,0.804,
2003-07,0.741,
2003-10,0.697,
2004-01,0.690,
2004-04,0.623,
2004-07,0.591,
2004-10,0.565,
2005-01,0.608,
2005-04,0.680,
2005-07,0.892,
2005-10,0.596,
2006-01,0.614,
2006-04,0.655,
2006-07,0.613,
2006-10,0.605,
2007-01,0.602,
2007-04,0.603,
2007-07,0.694,
2007-10,0.588,
2008-01,0.620,
2008-04,0.648,
2008-07,0.657,
2008-10,0.673,
2009-01,0.622,
2009-04,0.666,
2009-07,0.561,
2009-10,0.533,
2010-01,0.562,
2010-04,0.567,
2010-07,0.474,
2010-10,0.424,
2011-01,0.473,
2011-04,0.534,
2011-07,0.507,
2011-10,0.493,
2012-01,0.519,
2012-04,0.535,
2012-07,0.466,
2012-10,0.469,
2013-01,0.449,
2013-04,0.457,
2013-07,0.411,
2013-10,0.402,
2014-01,0.408,
2014-04,0.414,
2014-07,0.392,
