"",BBK01.OEBL07M,BBK01.OEBL07M_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-08 11:14:53,
2002-01,4.774,
2002-04,4.416,
2002-07,4.378,
2002-10,4.606,
2003-01,4.613,
2003-04,4.516,
2003-07,4.609,
2003-10,4.615,
2004-01,4.493,
2004-04,4.424,
2004-07,4.656,
2004-10,4.844,
2005-01,8.253,
2005-04,8.222,
2005-07,8.073,
2005-10,8.102,
2006-01,8.036,
2006-04,7.962,
2006-07,7.835,
2006-10,7.865,
2007-01,8.127,
2007-04,8.075,
2007-07,7.956,
2007-10,8.183,
2008-01,8.123,
2008-04,8.252,
2008-07,7.774,
2008-10,8.345,
2009-01,8.452,
2009-04,8.738,
2009-07,9.120,
2009-10,9.196,
2010-01,9.188,
2010-04,9.250,
2010-07,9.281,
2010-10,9.618,
2011-01,10.043,
2011-04,9.877,
2011-07,9.851,
2011-10,9.871,
2012-01,10.205,
2012-04,10.117,
2012-07,9.967,
2012-10,9.869,
2013-01,9.532,
2013-04,9.309,
2013-07,9.090,
2013-10,9.062,
2014-01,8.964,
2014-04,8.802,
2014-07,9.103,
