"",BBK01.OEBB08L,BBK01.OEBB08L_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:30:17,
2002-01,26.779,
2002-04,26.859,
2002-07,27.891,
2002-10,28.807,
2003-01,28.347,
2003-04,28.244,
2003-07,28.546,
2003-10,28.777,
2004-01,30.813,
2004-04,31.787,
2004-07,35.947,
2004-10,36.824,
2005-01,42.014,
2005-04,44.141,
2005-07,46.883,
2005-10,60.582,
2006-01,64.968,
2006-04,66.377,
2006-07,68.198,
2006-10,68.394,
2007-01,71.889,
2007-04,72.639,
2007-07,76.645,
2007-10,84.254,
2008-01,85.947,
2008-04,83.242,
2008-07,83.647,
2008-10,83.866,
2009-01,81.964,
2009-04,86.496,
2009-07,87.829,
2009-10,88.559,
2010-01,89.303,
2010-04,90.539,
2010-07,94.040,
2010-10,94.910,
2011-01,96.262,
2011-04,97.520,
2011-07,98.555,
2011-10,98.829,
2012-01,99.008,
2012-04,99.656,
2012-07,100.249,
2012-10,96.505,
2013-01,96.364,
2013-04,97.794,
2013-07,98.053,
2013-10,98.800,
2014-01,99.682,
2014-04,100.994,
2014-07,103.396,
