"",BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.00125.F03300.Z01.00,BBSF2.M.1.S.00000.TOT01.I.F.SVG.Z5.00125.F03300.Z01.00_FLAGS
"",Special investors funds / Funds total / Debt securities total / Insurance corporations and pension funds,
unit,Euro (hypothetically euro-based),
unit multiplier,million,
last update,2014-12-29 10:42:57,
2009-09,1758,
2009-10,1793,
2009-11,1781,
2009-12,1823,
2010-01,1888,
2010-02,1833,
2010-03,2014,
2010-04,2117,
2010-05,2067,
2010-06,1977,
2010-07,1950,
2010-08,1771,
2010-09,1743,
2010-10,1771,
2010-11,1752,
2010-12,1724,
2011-01,1758,
2011-02,1771,
2011-03,1645,
2011-04,1681,
2011-05,1674,
2011-06,1631,
2011-07,1641,
2011-08,1718,
2011-09,1683,
2011-10,1742,
2011-11,1571,
2011-12,1642,
2012-01,1706,
2012-02,1761,
2012-03,1837,
2012-04,1811,
2012-05,1771,
2012-06,1766,
2012-07,1840,
2012-08,1849,
2012-09,1886,
2012-10,2259,
2012-11,2334,
2012-12,2501,
2013-01,2470,
2013-02,2566,
2013-03,2585,
2013-04,2787,
2013-05,2772,
2013-06,2715,
2013-07,2787,
2013-08,2847,
2013-09,2910,
2013-10,3162,
2013-11,3221,
2013-12,3267,
2014-01,3410,
2014-02,3398,
2014-03,3433,
2014-04,3434,
2014-05,3612,
2014-06,3114,
2014-07,3199,
2014-08,3295,
2014-09,3474,
2014-10,3615,
2014-11,3636,
