"",BBK01.OEHB06R,BBK01.OEHB06R_FLAGS
"",,
unit,Euro (hypothetically euro-based),
unit multiplier,billion,
last update,2014-12-05 11:37:57,
2002-01,0.732,
2002-04,0.742,
2002-07,0.755,
2002-10,0.740,
2003-01,0.778,
2003-04,0.772,
2003-07,0.742,
2003-10,0.746,
2004-01,0.733,
2004-04,0.721,
2004-07,0.702,
2004-10,0.718,
2005-01,0.687,
2005-04,0.696,
2005-07,0.680,
2005-10,0.659,
2006-01,0.627,
2006-04,0.605,
2006-07,0.587,
2006-10,0.569,
2007-01,0.576,
2007-04,0.590,
2007-07,0.579,
2007-10,0.556,
2008-01,0.518,
2008-04,0.478,
2008-07,0.454,
2008-10,0.457,
2009-01,0.461,
2009-04,0.432,
2009-07,0.417,
2009-10,0.402,
2010-01,0.371,
2010-04,0.365,
2010-07,0.354,
2010-10,0.338,
2011-01,0.365,
2011-04,0.387,
2011-07,0.353,
2011-10,0.345,
2012-01,0.384,
2012-04,0.380,
2012-07,0.362,
2012-10,0.393,
2013-01,0.415,
2013-04,0.443,
2013-07,0.430,
2013-10,0.454,
2014-01,0.488,
2014-04,0.525,
2014-07,0.506,
