"",BBEX3.M.MAD.USD.CA.AA.A01,BBEX3.M.MAD.USD.CA.AA.A01_FLAGS
"",Exchange rates for the US dollar in Morocco  / USD 1 = MAD ... (buying),
unit,MAD (hypothetically euro-based),
unit multiplier,one,
last update,2015-02-27 15:19:03,
1967-01,5.0661,
1967-02,5.0640,
1967-03,5.0671,
1967-04,5.0559,
1967-05,5.0323,
1967-06,5.0231,
1967-07,5.0200,
1967-08,5.0221,
1967-09,5.0221,
1967-10,5.0200,
1967-11,5.0203,
1967-12,5.0277,
1968-01,5.0359,
1968-02,5.0392,
1968-03,5.0333,
1968-04,5.0510,
1968-05,5.0579,
1968-06,5.0891,
1968-07,5.0891,
1968-08,5.0891,
1968-09,5.0891,
1968-10,5.0891,
1968-11,5.0717,
1968-12,5.0666,
1969-01,5.0692,
1969-02,5.0671,
1969-03,5.0727,
1969-04,5.0898,
1969-05,.,No value available
1969-06,5.0845,
1969-07,5.0886,
1969-08,5.0417,
1969-09,5.0703,
1969-10,5.0735,
1969-11,5.0685,
1969-12,5.0564,
1970-01,5.0430,
1970-02,5.0444,
1970-03,5.0412,
1970-04,5.0239,
1970-05,5.0217,
1970-06,5.0217,
1970-07,5.0194,
1970-08,5.0194,
1970-09,5.0248,
1970-10,5.0248,
1970-11,5.0194,
1970-12,5.0212,
1971-01,5.0180,
1971-02,5.0203,
1971-03,5.0171,
1971-04,5.0171,
1971-05,5.0358,
1971-06,5.0185,
1971-07,5.0167,
1971-08,5.0151,
1971-09,5.0303,
1971-10,5.0335,
1971-11,5.0148,
1971-12,4.7519,
1972-01,4.6646,
1972-02,4.6105,
1972-03,4.5723,
1972-04,4.5759,
1972-05,4.5502,
1972-06,4.5493,
1972-07,4.5497,
1972-08,4.5500,
1972-09,4.5577,
1972-10,4.5845,
1972-11,4.5782,
1972-12,4.6550,
1973-01,4.5695,
1973-02,4.1165,
1973-03,4.1278,
1973-04,4.1556,
1973-05,4.0768,
1973-06,3.8633,
1973-07,3.8740,
1973-08,3.9775,
1973-09,3.9404,
1973-10,3.9422,
1973-11,4.1161,
1973-12,4.2802,
1974-01,4.5557,
1974-02,4.4060,
1974-03,4.3274,
1974-04,4.3246,
1974-05,4.3667,
1974-06,4.3400,
1974-07,4.3017,
1974-08,4.3870,
1974-09,4.3492,
1974-10,4.3124,
1974-11,4.2539,
1974-12,4.1439,
1975-01,4.0672,
1975-02,3.9639,
1975-03,4.0111,
1975-04,3.9770,
1975-05,3.8274,
1975-06,3.8543,
1975-07,4.0939,
1975-08,4.1100,
1975-09,4.2124,
1975-10,4.0930,
1975-11,4.1755,
1975-12,4.1726,
1976-01,4.1932,
1976-02,4.2553,
1976-03,4.3655,
1976-04,4.3894,
1976-05,4.4233,
1976-06,4.4240,
1976-07,4.4864,
1976-08,4.4807,
1976-09,4.4749,
1976-10,4.5075,
1976-11,4.4996,
1976-12,4.4730,
1977-01,4.5062,
1977-02,4.5101,
1977-03,4.4976,
1977-04,4.4842,
1977-05,4.4783,
1977-06,4.4688,
1977-07,4.5356,
1977-08,4.5495,
1977-09,4.5411,
1977-10,4.4653,
1977-11,4.4590,
1977-12,4.3149,
1978-01,4.3110,
1978-02,4.2757,
1978-03,4.2177,
1978-04,4.2669,
1978-05,4.2689,
1978-06,4.1976,
1978-07,4.0963,
1978-08,4.0326,
1978-09,3.9770,
1978-10,3.7379,
1978-11,4.0386,
1978-12,3.8750,
1979-01,3.9434,
1979-02,3.9255,
1979-03,3.9329,
1979-04,3.9572,
1979-05,3.9890,
1979-06,3.8931,
1979-07,3.8692,
1979-08,3.8629,
1979-09,3.7615,
1979-10,3.8681,
1979-11,3.7638,
1979-12,3.7280,
1980-01,3.7534,
1980-02,3.8178,
1980-03,4.0810,
1980-04,3.8740,
1980-05,3.8376,
1980-06,3.7877,
1980-07,3.8365,
1980-08,3.8502,
1980-09,3.9592,
1980-10,4.1015,
1980-11,4.2208,
1980-12,4.3224,
1981-01,4.6548,
1981-02,4.7766,
1981-03,4.7425,
1981-04,5.0135,
1981-05,5.2769,
1981-06,5.4406,
1981-07,5.5687,
1981-08,5.5509,
1981-09,5.3099,
1981-10,5.3843,
1981-11,5.2421,
1981-12,5.3202,
1982-01,5.4997,
1982-02,5.7659,
1982-03,5.8916,
1982-04,5.8197,
1982-05,5.8077,
